kodi_projekti,viti_fiskal,vlera_planifikuar_fillestare,vlera_miratuar_aktuale,perfshin_tvsh,vlera_disbursuar,data_miratimit_buxhetit,data_rishikimit_fundit
PRJ-000028,2026,,,,,,
PRJ-000029,2026,13588000.0,15334440.5,True,,2026-07-19 11:00:00,2026-09-16 11:00:00
PRJ-000030,2026,,,,,,
PRJ-000031,2026,8245800.0,8245800.0,True,,2026-07-12 08:00:00,
PRJ-000032,2026,14136540.0,17455220.92,True,,2026-07-27 08:00:00,2026-09-16 08:00:00
PRJ-000033,2026,10080000.0,10080000.0,True,,2026-08-02 08:00:00,
PRJ-000034,2026,17085192.0,17085192.0,True,,2026-07-06 08:00:00,
PRJ-000035,2026,85724130.0,85724130.0,True,,2026-08-13 08:00:00,
PRJ-000036,2026,36176598.0,36176598.0,True,,2026-08-06 08:00:00,
PRJ-000037,2026,,,,,,
PRJ-000038,2026,27297737.65,27297737.65,True,,2026-06-27 08:00:00,
PRJ-000039,2026,,,,,,
PRJ-000040,2026,15373598.4,15373598.4,True,,2026-07-11 11:00:00,
PRJ-000041,2026,46570215.76,46570215.76,True,,2026-08-13 09:00:00,
PRJ-000042,2026,14262399.6,14262399.6,True,,2026-07-19 08:30:00,
PRJ-000043,2026,15600000.0,15600000.0,True,,2026-08-12 11:00:00,
PRJ-000044,2026,39999435.24,39999435.24,True,,2026-06-23 08:00:00,
PRJ-000045,2026,,,,,,
PRJ-000046,2026,,,,,,
PRJ-000047,2026,,,,,,
PRJ-000048,2026,,,,,,
PRJ-000049,2026,,,,,,
PRJ-000050,2026,,,,,,
PRJ-000051,2026,,,,,,
PRJ-000052,2026,,,,,,
PRJ-000053,2026,,,,,,
PRJ-000054,2026,,,,,,
PRJ-000055,2026,,,,,,
PRJ-000056,2026,,,,,,
PRJ-000057,2026,1969716.0,1969716.0,True,,2026-07-28 11:00:00,
PRJ-000058,2026,3992160.0,3992160.0,True,,2026-08-16 12:00:00,
PRJ-000059,2026,,,,,,
PRJ-000060,2026,1694124.0,1895548.63,True,,2026-07-16 09:00:00,2026-08-19 09:00:00
PRJ-000061,2026,2061680.0,2061680.0,True,,2026-06-21 11:00:00,
PRJ-000062,2026,1985109.5,1985109.5,True,,2026-06-19 12:00:00,
PRJ-000063,2026,,,,,,
PRJ-000064,2026,5304768.0,5304768.0,True,,2026-07-30 11:00:00,
PRJ-000065,2026,2613000.0,2613000.0,True,,2026-08-05 10:00:00,
PRJ-000066,2026,3743490.0,3743490.0,True,,2026-06-23 01:30:00,
PRJ-000067,2026,9973200.0,8656381.04,True,,2026-07-30 10:00:00,2026-09-15 10:00:00
PRJ-000068,2026,15422840.4,15422840.4,True,,2026-06-24 10:00:00,
PRJ-000069,2026,5887999.2,5887999.2,True,,2026-06-24 11:00:00,
PRJ-000070,2026,,,,,,
PRJ-000071,2026,600000000.0,600000000.0,True,,2026-07-08 09:00:00,
PRJ-000072,2026,2798400.0,2798400.0,True,,2026-07-03 08:00:00,
PRJ-000073,2026,,,,,,
PRJ-000074,2026,2991540.0,2991540.0,True,,2026-08-11 11:00:00,
PRJ-000075,2026,15866307.0,15866307.0,True,,2026-08-07 10:00:00,
PRJ-000076,2026,26811702.4,26811702.4,True,,2026-08-06 09:00:00,
PRJ-000077,2026,2336649.6,2336649.6,True,,2026-06-19 11:30:00,
PRJ-000078,2026,112934437.2,101949178.81,True,,2026-08-17 08:00:00,2026-09-03 08:00:00
PRJ-000079,2026,10993336.8,10993336.8,True,,2026-06-22 08:00:00,
PRJ-000080,2026,,,,,,
PRJ-000081,2026,51457834.0,51457834.0,True,,2026-08-16 12:00:00,
PRJ-000082,2026,,,,,,
PRJ-000083,2026,,,,,,
PRJ-000084,2026,,,,,,
PRJ-000085,2026,,,,,,
PRJ-000086,2026,,,,,,
PRJ-000087,2026,1648495.2,1648495.2,True,,2026-07-16 10:00:00,
PRJ-000088,2026,2995400.4,2995400.4,True,,2026-06-19 08:00:00,
PRJ-000089,2026,503480.4,503480.4,True,,2026-08-07 08:00:00,
PRJ-000090,2026,1018658.4,1036633.37,True,,2026-08-10 08:00:00,2026-08-26 08:00:00
PRJ-000091,2026,515178.0,515178.0,True,,2026-07-11 08:00:00,
PRJ-000092,2026,2410371.6,2410371.6,True,,2026-07-09 11:00:00,
PRJ-000093,2026,3276597.6,3872189.48,True,,2026-08-01 10:00:00,2026-09-14 10:00:00
PRJ-000094,2026,8604000.0,8604000.0,True,,2026-07-15 08:00:00,
PRJ-000095,2026,1263660.0,1263660.0,True,,2026-07-11 08:00:00,
PRJ-000096,2026,10442254.8,10442254.8,True,,2026-07-22 08:00:00,
PRJ-000097,2026,574594.8,542799.57,True,,2026-07-20 08:00:00,2026-09-14 08:00:00
PRJ-000098,2026,1980000.0,1735714.61,True,,2026-06-28 08:00:00,2026-09-14 08:00:00
PRJ-000099,2026,,,,,,
PRJ-000100,2026,6380000.4,6380000.4,True,,2026-06-21 15:00:00,
PRJ-000101,2026,2231880.0,2151282.42,True,,2026-07-12 00:00:00,2026-08-21 00:00:00
PRJ-000102,2026,5111898.0,4702213.05,True,,2026-08-15 09:00:00,2026-09-14 09:00:00
PRJ-000103,2026,4989600.0,4989600.0,True,,2026-06-29 11:30:00,
PRJ-000104,2026,,,,,,
PRJ-000105,2026,,,,,,
PRJ-000106,2026,7489800.0,7489800.0,True,,2026-07-15 10:00:00,
PRJ-000107,2026,2031492.0,1929419.75,True,,2026-07-08 09:00:00,2026-09-14 09:00:00
PRJ-000108,2026,11999323.09,11999323.09,True,,2026-08-13 09:00:00,
PRJ-000109,2026,292975.2,292975.2,True,,2026-08-10 10:00:00,
PRJ-000110,2026,76189.2,76189.2,True,,2026-07-05 10:00:00,
PRJ-000111,2026,300612.0,300612.0,True,,2026-06-26 10:00:00,
PRJ-000112,2026,442550.4,442550.4,True,,2026-07-12 10:00:00,
PRJ-000113,2026,325281.6,325281.6,True,,2026-07-08 10:00:00,
PRJ-000114,2026,325279.2,325279.2,True,,2026-07-28 10:00:00,
PRJ-000115,2026,312814.8,312814.8,True,,2026-06-25 10:00:00,
PRJ-000116,2026,337432.8,337432.8,True,,2026-08-01 10:00:00,
PRJ-000117,2026,318930.0,318930.0,True,,2026-08-08 10:00:00,
PRJ-000118,2026,3044640.0,3035520.46,True,,2026-07-17 10:00:00,2026-09-14 10:00:00
PRJ-000119,2026,312574.8,312574.8,True,,2026-07-24 10:00:00,
PRJ-000120,2026,19136400.0,19136400.0,True,,2026-07-07 14:00:00,
PRJ-000121,2026,7181736.68,7181736.68,True,,2026-07-19 10:00:00,
PRJ-000122,2026,,,,,,
PRJ-000123,2026,4038000.0,4038000.0,True,,2026-07-14 08:00:00,
PRJ-000124,2026,27873516.0,27873516.0,True,,2026-08-06 09:00:00,
PRJ-000125,2026,77873516.4,77873516.4,True,,2026-07-17 09:00:00,
PRJ-000126,2026,1419692.76,1419692.76,True,,2026-07-09 08:30:00,
PRJ-000127,2026,50000000.4,61218796.94,True,,2026-07-03 09:00:00,2026-08-09 09:00:00
PRJ-000128,2026,2596320.0,2596320.0,True,,2026-06-29 10:00:00,
PRJ-000129,2026,6999999.6,6999999.6,True,,2026-06-29 09:00:00,
PRJ-000130,2026,1208286.0,1324844.86,True,,2026-07-12 09:00:00,2026-08-23 09:00:00
PRJ-000131,2026,61194683.96,61194683.96,True,,2026-07-18 00:00:00,
PRJ-000132,2026,7499913.6,7499913.6,True,,2026-06-21 00:00:00,
PRJ-000133,2026,3985140.0,3985140.0,True,,2026-08-08 08:00:00,
PRJ-000134,2026,14999943.6,13276204.15,True,,2026-07-18 10:00:00,2026-09-14 10:00:00
PRJ-000135,2026,6899607.86,6899607.86,True,,2026-06-30 08:00:00,
PRJ-000136,2026,1780952.2,1780952.2,True,,2026-06-23 08:00:00,
PRJ-000137,2026,,,,,,
PRJ-000138,2026,4137237.6,3761217.93,True,,2026-07-28 08:00:00,2026-08-26 08:00:00
PRJ-000139,2026,3278218.8,3278218.8,True,,2026-08-09 09:00:00,
PRJ-000140,2026,22435200.0,22435200.0,True,,2026-07-25 00:00:00,
PRJ-000141,2026,19080000.0,19080000.0,True,,2026-07-08 12:00:00,
PRJ-000142,2026,90536566.08,90536566.08,True,,2026-07-22 08:30:00,
PRJ-000143,2026,15265545.6,15265545.6,True,,2026-08-09 08:00:00,
PRJ-000144,2026,16328452.8,16328452.8,True,,2026-07-14 12:00:00,
PRJ-000145,2026,,,,,,
PRJ-000146,2026,,,,,,
PRJ-000147,2026,,,,,,
PRJ-000148,2026,,,,,,
PRJ-000149,2026,,,,,,
PRJ-000150,2026,,,,,,
PRJ-000151,2026,,,,,,
PRJ-000152,2026,,,,,,
PRJ-000153,2026,,,,,,
PRJ-000154,2026,4708500.0,4708500.0,True,,2026-07-05 10:00:00,
PRJ-000155,2026,1673815.0,2091669.34,True,,2026-08-14 08:30:00,2026-09-13 08:30:00
PRJ-000156,2026,1784160.0,1784160.0,True,,2026-08-10 10:00:00,
PRJ-000157,2026,2101180.8,2438855.63,True,,2026-08-01 09:00:00,2026-09-13 09:00:00
PRJ-000158,2026,7199563.2,7199563.2,True,,2026-06-19 09:00:00,
PRJ-000159,2026,1766270.4,1929420.92,True,,2026-06-17 10:00:00,2026-09-13 10:00:00
PRJ-000160,2026,1980000.0,2317363.37,True,,2026-06-25 09:00:00,2026-09-13 09:00:00
PRJ-000161,2026,7947104.4,7947104.4,True,,2026-06-26 10:00:00,
PRJ-000162,2026,3984224.4,3585680.33,True,,2026-07-04 09:00:00,2026-09-13 09:00:00
PRJ-000163,2026,9498709.2,9498709.2,True,,2026-07-08 08:00:00,
PRJ-000164,2026,3840000.0,3679885.44,True,,2026-07-02 12:00:00,2026-08-02 12:00:00
PRJ-000165,2026,,,,,,
PRJ-000166,2026,5594400.0,6134391.56,True,,2026-08-15 08:00:00,2026-09-05 08:00:00
PRJ-000167,2026,2422740.0,2148215.46,True,,2026-07-03 08:30:00,2026-09-13 08:30:00
PRJ-000168,2026,10144002.0,10144002.0,True,,2026-07-13 09:00:00,
PRJ-000169,2026,2499999.6,2499999.6,True,,2026-07-20 11:00:00,
PRJ-000170,2026,1996920.0,1996920.0,True,,2026-07-21 08:00:00,
PRJ-000171,2026,1996818.0,1996818.0,True,,2026-07-19 08:00:00,
PRJ-000172,2026,22999999.2,22999999.2,True,,2026-07-04 08:00:00,
PRJ-000173,2026,68424720.0,61831166.45,True,,2026-06-19 08:30:00,2026-08-18 08:30:00
PRJ-000174,2026,14995908.0,14995908.0,True,,2026-07-20 10:00:00,
PRJ-000175,2026,14827526.4,14827526.4,True,,2026-07-21 11:30:00,
PRJ-000176,2026,14640000.0,14640000.0,True,,2026-07-11 08:30:00,
PRJ-000177,2026,90250800.0,90250800.0,True,,2026-07-21 08:30:00,
PRJ-000178,2026,75610800.0,75610800.0,True,,2026-07-12 08:30:00,
PRJ-000179,2026,59882786.4,59882786.4,True,,2026-07-07 08:00:00,
PRJ-000180,2026,42522433.48,42522433.48,True,,2026-06-28 08:00:00,
PRJ-000181,2026,0.0,0.0,True,,2026-07-06 10:00:00,
PRJ-000182,2026,27999999.6,27999999.6,True,,2026-07-12 10:00:00,
PRJ-000183,2026,30000000.0,30000000.0,True,,2026-07-02 10:00:00,
PRJ-000184,2026,,,,,,
PRJ-000185,2026,,,,,,
PRJ-000186,2026,,,,,,
PRJ-000187,2026,,,,,,
PRJ-000188,2026,,,,,,
PRJ-000189,2026,,,,,,
PRJ-000190,2026,1080000.0,1039224.14,True,,2026-07-09 10:00:00,2026-09-10 10:00:00
PRJ-000191,2026,1680000.0,1680000.0,True,,2026-08-08 10:00:00,
PRJ-000192,2026,600000.0,600000.0,True,,2026-06-30 10:00:00,
PRJ-000193,2026,2157120.0,2351985.94,True,,2026-07-21 10:00:00,2026-09-10 10:00:00
PRJ-000194,2026,4721060.4,4721060.4,True,,2026-08-08 11:00:00,
PRJ-000195,2026,10032000.0,10032000.0,True,,2026-06-26 09:00:00,
PRJ-000196,2026,3150000.0,3150000.0,True,,2026-06-17 16:00:00,
PRJ-000197,2026,4983192.0,5282359.53,True,,2026-07-15 00:00:00,2026-08-26 00:00:00
PRJ-000198,2026,,,,,,
PRJ-000199,2026,,,,,,
PRJ-000200,2026,,,,,,
PRJ-000201,2026,2395999.99,2395999.99,True,,2026-06-22 12:00:00,
PRJ-000202,2026,906348.0,906348.0,True,,2026-07-16 11:00:00,
PRJ-000203,2026,3923146.8,3923146.8,True,,2026-08-10 11:00:00,
PRJ-000204,2026,3016798.8,2782606.7,True,,2026-07-29 11:00:00,2026-09-10 11:00:00
PRJ-000205,2026,1659756.0,1659756.0,True,,2026-07-29 09:00:00,
PRJ-000206,2026,2402877.6,2402877.6,True,,2026-07-08 09:00:00,
PRJ-000207,2026,3860487.6,3860487.6,True,,2026-07-29 10:00:00,
PRJ-000208,2026,2290234.94,2290234.94,True,,2026-07-04 11:00:00,
PRJ-000209,2026,519860552.0,519860552.0,True,,2026-08-09 08:00:00,
PRJ-000210,2026,968494267.2,968494267.2,True,,2026-07-23 08:00:00,
PRJ-000211,2026,104829680.0,104829680.0,True,,2026-06-27 08:00:00,
PRJ-000212,2026,152775000.0,152775000.0,True,,2026-06-18 08:00:00,
PRJ-000213,2026,1963022771.21,1963022771.21,True,,2026-07-22 08:00:00,
PRJ-000214,2026,217063272.0,217063272.0,True,,2026-08-06 08:00:00,
PRJ-000215,2026,161776626.0,159437700.67,True,,2026-07-05 09:00:00,2026-09-10 09:00:00
PRJ-000216,2026,179400000.0,179400000.0,True,,2026-07-01 10:00:00,
PRJ-000217,2026,19172006.95,19172006.95,True,,2026-07-09 11:00:00,
PRJ-000218,2026,32151096.0,32151096.0,True,,2026-07-11 08:00:00,
PRJ-000219,2026,155669917.12,155669917.12,True,,2026-06-20 09:00:00,
PRJ-000220,2026,,,,,,
PRJ-000221,2026,510880575.66,510880575.66,True,,2026-07-26 08:00:00,
PRJ-000222,2026,,,,,,
PRJ-000223,2026,,,,,,
PRJ-000224,2026,,,,,,
PRJ-000225,2026,,,,,,
PRJ-000226,2026,,,,,,
PRJ-000227,2026,,,,,,
PRJ-000228,2026,,,,,,
PRJ-000229,2026,6999960.0,6999960.0,True,,2026-08-02 09:00:00,
PRJ-000230,2026,3017190.0,3017190.0,True,,2026-07-04 08:00:00,
PRJ-000231,2026,3311474.44,3844414.03,True,,2026-06-14 10:00:00,2026-09-09 10:00:00
PRJ-000232,2026,1999560.0,1999560.0,True,,2026-07-14 09:00:00,
PRJ-000233,2026,2998640.4,3215096.31,True,,2026-06-24 12:00:00,2026-09-09 12:00:00
PRJ-000234,2026,3020400.0,3020400.0,True,,2026-07-28 12:00:00,
PRJ-000235,2026,1371200.04,1225459.19,True,,2026-06-16 11:00:00,2026-09-09 11:00:00
PRJ-000236,2026,1662196.8,1662196.8,True,,2026-06-25 11:00:00,
PRJ-000237,2026,290996.76,274646.83,True,,2026-06-24 11:00:00,2026-07-25 11:00:00
PRJ-000238,2026,3271248.0,3453952.88,True,,2026-06-20 12:00:00,2026-08-17 12:00:00
PRJ-000239,2026,3491750.0,3491750.0,True,,2026-06-30 09:00:00,
PRJ-000240,2026,3505617.6,4175584.77,True,,2026-07-11 12:00:00,2026-09-09 12:00:00
PRJ-000241,2026,49498047.6,49498047.6,True,,2026-07-24 08:00:00,
PRJ-000242,2026,51451644.0,51451644.0,True,,2026-07-26 08:00:00,
PRJ-000243,2026,,,,,,
PRJ-000244,2026,164907880.99,164907880.99,True,,2026-07-22 08:30:00,
PRJ-000245,2026,,,,,,
PRJ-000246,2026,,,,,,
PRJ-000247,2026,,,,,,
PRJ-000248,2026,,,,,,
PRJ-000249,2026,,,,,,
PRJ-000250,2026,,,,,,
PRJ-000251,2026,,,,,,
PRJ-000252,2026,,,,,,
PRJ-000253,2026,3722563.73,3722563.73,True,,2026-07-18 08:00:00,
PRJ-000254,2026,8999334.0,8999334.0,True,,2026-08-02 10:00:00,
PRJ-000255,2026,1381470.24,1424726.79,True,,2026-07-29 08:30:00,2026-09-08 08:30:00
PRJ-000256,2026,10461130.44,10461130.44,True,,2026-06-17 08:00:00,
PRJ-000257,2026,5983996.8,5983996.8,True,,2026-06-12 10:00:00,
PRJ-000258,2026,6723298.8,6589754.54,True,,2026-06-17 10:00:00,2026-09-08 10:00:00
PRJ-000259,2026,,,,,,
PRJ-000260,2026,6000000.0,6000000.0,True,,2026-07-05 14:00:00,
PRJ-000261,2026,3597184.0,3597184.0,True,,2026-07-27 14:00:00,
PRJ-000262,2026,1999155.6,1999155.6,True,,2026-06-18 08:00:00,
PRJ-000263,2026,4936135.2,4936135.2,True,,2026-06-23 10:00:00,
PRJ-000264,2026,300000000.0,300000000.0,True,,2026-07-12 08:00:00,
PRJ-000265,2026,,,,,,
PRJ-000266,2026,263655960.73,263655960.73,True,,2026-06-16 10:00:00,
PRJ-000267,2026,34995600.0,38886020.63,True,,2026-07-07 00:00:00,2026-09-08 00:00:00
PRJ-000268,2026,1486362506.4,1486362506.4,True,,2026-08-02 10:00:00,
PRJ-000269,2026,39999741.6,34657041.61,True,,2026-08-07 08:00:00,2026-09-08 08:00:00
PRJ-000270,2026,,,,,,
PRJ-000271,2026,,,,,,
PRJ-000272,2026,,,,,,
PRJ-000273,2026,,,,,,
PRJ-000274,2026,,,,,,
PRJ-000275,2026,,,,,,
PRJ-000276,2026,,,,,,
PRJ-000277,2026,,,,,,
PRJ-000278,2026,,,,,,
PRJ-000279,2026,,,,,,
PRJ-000280,2026,1975999.2,1975999.2,True,,2026-07-16 12:00:00,
PRJ-000281,2026,2317752.0,2317752.0,True,,2026-08-03 08:00:00,
PRJ-000282,2026,4286400.0,4286400.0,True,,2026-07-10 12:00:00,
PRJ-000283,2026,3191000.4,3191000.4,True,,2026-07-14 12:00:00,
PRJ-000284,2026,2908680.0,2908680.0,True,,2026-07-25 10:00:00,
PRJ-000285,2026,6985791.12,6985791.12,True,,2026-07-11 08:00:00,
PRJ-000286,2026,9999999.96,9999999.96,True,,2026-07-21 10:00:00,
PRJ-000287,2026,31964886.0,31964886.0,True,,2026-07-12 08:00:00,
PRJ-000288,2026,19750585.2,24046915.73,True,,2026-08-07 10:00:00,2026-09-05 10:00:00
PRJ-000289,2026,21888000.0,19573383.11,True,,2026-06-27 10:00:00,2026-09-07 10:00:00
PRJ-000290,2026,178017115.68,178017115.68,True,,2026-07-06 09:00:00,
PRJ-000291,2026,387419572.68,387419572.68,True,,2026-08-09 09:00:00,
PRJ-000292,2026,209402457.0,209402457.0,True,,2026-07-31 09:00:00,
PRJ-000293,2026,15694359.6,15694359.6,True,,2026-07-25 08:30:00,
PRJ-000294,2026,72743802.0,72743802.0,True,,2026-07-04 09:00:00,
PRJ-000295,2026,169164364.8,169164364.8,True,,2026-06-21 10:00:00,
PRJ-000296,2026,2499999875.3,2539025967.14,True,,2026-07-04 08:00:00,2026-09-07 08:00:00
PRJ-000297,2026,16044000.0,15860961.42,True,,2026-07-17 08:00:00,2026-08-04 08:00:00
PRJ-000298,2026,18000000.0,18000000.0,True,,2026-06-26 10:30:00,
PRJ-000299,2026,,,,,,
PRJ-000300,2026,,,,,,
PRJ-000301,2026,3359881.8,3049050.62,True,,2026-06-30 10:00:00,2026-09-03 10:00:00
PRJ-000302,2026,3892363.22,3892363.22,True,,2026-07-29 10:00:00,
PRJ-000303,2026,6366896.38,7941008.57,True,,2026-07-01 08:00:00,2026-09-03 08:00:00
PRJ-000304,2026,1536763.08,1536763.08,True,,2026-06-12 08:00:00,
PRJ-000305,2026,2296770.36,2296770.36,True,,2026-06-29 10:00:00,
PRJ-000306,2026,2049077.28,2049077.28,True,,2026-06-30 10:00:00,
PRJ-000307,2026,2294498.04,2497068.97,True,,2026-06-15 10:00:00,2026-07-25 10:00:00
PRJ-000308,2026,8817782.76,8817782.76,True,,2026-06-29 10:00:00,
PRJ-000309,2026,2177437.08,2177437.08,True,,2026-06-21 10:00:00,
PRJ-000310,2026,9973200.0,9973200.0,True,,2026-07-20 10:00:00,
PRJ-000311,2026,2593080.0,2593080.0,True,,2026-06-10 11:00:00,
PRJ-000312,2026,,,,,,
PRJ-000313,2026,1761729.24,1761729.24,True,,2026-07-10 09:00:00,
PRJ-000314,2026,10399994.4,10399994.4,True,,2026-06-26 08:00:00,
PRJ-000315,2026,,,,,,
PRJ-000316,2026,9570960.0,9570960.0,True,,2026-07-20 09:30:00,
PRJ-000317,2026,2448000.0,2448000.0,True,,2026-06-07 10:00:00,
PRJ-000318,2026,1484531.72,1484531.72,True,,2026-06-13 08:00:00,
PRJ-000319,2026,3492932.4,3492932.4,True,,2026-07-11 08:30:00,
PRJ-000320,2026,4898853.6,4898853.6,True,,2026-07-04 09:00:00,
PRJ-000321,2026,4996862.4,6054145.1,True,,2026-06-24 08:30:00,2026-09-03 08:30:00
PRJ-000322,2026,1993089.6,2286951.02,True,,2026-07-30 09:00:00,2026-09-03 09:00:00
PRJ-000323,2026,5106481.84,5106481.84,True,,2026-06-17 08:00:00,
PRJ-000324,2026,4200000.0,4200000.0,True,,2026-06-28 09:00:00,
PRJ-000325,2026,1499880.0,1499880.0,True,,2026-07-13 08:00:00,
PRJ-000326,2026,1380000.0,1380000.0,True,,2026-07-06 08:00:00,
PRJ-000327,2026,10980055.91,10980055.91,True,,2026-07-14 10:00:00,
PRJ-000328,2026,2661898.8,2991507.96,True,,2026-08-03 08:00:00,2026-09-03 08:00:00
PRJ-000329,2026,,,,,,
PRJ-000330,2026,,,,,,
PRJ-000331,2026,2456159.16,2456159.16,True,,2026-06-21 12:00:00,
PRJ-000332,2026,1712199.6,1812885.36,True,,2026-07-24 12:30:00,2026-08-17 12:30:00
PRJ-000333,2026,,,,,,
PRJ-000334,2026,15578968.39,15578968.39,True,,2026-07-31 08:00:00,
PRJ-000335,2026,92695999.99,92695999.99,True,,2026-06-13 10:00:00,
PRJ-000336,2026,,,,,,
PRJ-000337,2026,,,,,,
PRJ-000338,2026,14033520.0,14033520.0,True,,2026-06-19 12:00:00,
PRJ-000339,2026,87837308.4,87837308.4,True,,2026-07-15 10:00:00,
PRJ-000340,2026,60065893.2,58371230.76,True,,2026-07-23 11:00:00,2026-09-03 11:00:00
PRJ-000341,2026,,,,,,
PRJ-000342,2026,,,,,,
PRJ-000343,2026,,,,,,
PRJ-000344,2026,1995556.99,1995556.99,True,,2026-07-25 08:00:00,
PRJ-000345,2026,4158621.6,4158621.6,True,,2026-06-14 10:00:00,
PRJ-000346,2026,1595997.6,1595997.6,True,,2026-07-17 10:00:00,
PRJ-000347,2026,2071200.0,2071200.0,True,,2026-06-19 14:00:00,
PRJ-000348,2026,3000000.0,3625346.5,True,,2026-06-08 09:00:00,2026-09-02 09:00:00
PRJ-000349,2026,2352000.0,2352000.0,True,,2026-06-28 12:00:00,
PRJ-000350,2026,3255360.0,3255360.0,True,,2026-07-24 10:00:00,
PRJ-000351,2026,3402643.2,3402643.2,True,,2026-06-30 08:00:00,
PRJ-000352,2026,9966349.2,9966349.2,True,,2026-06-22 08:00:00,
PRJ-000353,2026,39501646.8,48429319.36,True,,2026-07-31 16:00:00,2026-09-02 16:00:00
PRJ-000354,2026,80000000.4,80000000.4,True,,2026-07-04 11:30:00,
PRJ-000355,2026,27248105.32,27248105.32,True,,2026-07-03 09:00:00,
PRJ-000356,2026,12600000.0,12600000.0,True,,2026-07-28 00:00:00,
PRJ-000357,2026,26616000.0,28526140.38,True,,2026-06-07 14:00:00,2026-09-02 14:00:00
PRJ-000358,2026,35999779.2,32312729.49,True,,2026-07-26 08:00:00,2026-09-02 08:00:00
PRJ-000359,2026,17597030.4,17597030.4,True,,2026-06-28 14:00:00,
PRJ-000360,2026,32009616.58,39866106.79,True,,2026-07-03 08:00:00,2026-08-10 08:00:00
PRJ-000361,2026,36007307.15,36007307.15,True,,2026-06-14 12:00:00,
PRJ-000362,2026,23782339.2,23782339.2,True,,2026-07-01 13:00:00,
PRJ-000363,2026,,,,,,
PRJ-000364,2026,,,,,,
PRJ-000365,2026,2912025.28,2912025.28,True,,2026-06-26 10:00:00,
PRJ-000366,2026,2389839.6,2389839.6,True,,2026-07-02 08:00:00,
PRJ-000367,2026,4553067.23,5679256.57,True,,2026-07-17 10:00:00,2026-09-01 10:00:00
PRJ-000368,2026,102878.4,93715.09,True,,2026-07-07 12:00:00,2026-09-01 12:00:00
PRJ-000369,2026,288000.0,288000.0,True,,2026-07-11 12:00:00,
PRJ-000370,2026,283200.0,283200.0,True,,2026-06-21 12:00:00,
PRJ-000371,2026,183783.6,183783.6,True,,2026-06-24 12:00:00,
PRJ-000372,2026,1753962.0,1753962.0,True,,2026-07-02 12:00:00,
PRJ-000373,2026,896100.0,896100.0,True,,2026-06-04 12:00:00,
PRJ-000374,2026,2477997.19,2477997.19,True,,2026-08-01 11:00:00,
PRJ-000375,2026,1922281.2,1922281.2,True,,2026-06-19 10:00:00,
PRJ-000376,2026,2799686.4,2799686.4,True,,2026-06-24 09:00:00,
PRJ-000377,2026,10506000.0,10506000.0,True,,2026-07-12 13:00:00,
PRJ-000378,2026,2096400.0,2096400.0,True,,2026-06-30 08:30:00,
PRJ-000379,2026,1882767.46,1882767.46,True,,2026-06-09 08:00:00,
PRJ-000380,2026,4669949.86,4669949.86,True,,2026-07-14 08:00:00,
