kodi_projekti,emertimi,kodi_institucioni,kodi_programi,viti_fiskal,kodi_llogarie_ekonomike,burimi_i_financimit
PRJ-000084,"Biletë udhëtimi ajror Tiranë, Shqipëri – Romë, Itali – Tiranë, Shqipëri.",INST-0535,,2026,230,Buxheti i Shtetit
PRJ-000085,Blerje Bileta Transporti Ajror Nderkombetar,INST-0522,,2026,231,Financim i huaj
PRJ-000086,"Blerje bilete udhëtimi me avion, Tiranë - Burgas - Tirane",INST-0543,,2026,230,Të ardhura të trashiguara
PRJ-000087,"Mbikqyrje e punime ne objektin: Sistemim, asfaltim i rrugeve ne Nj.d.Gjepalaj dhe Nj.Ad.Xhafzotaj( fshati Likesh, fshati Rreth, rruga Mustafa Bulku)",INST-0168,,2026,231,Buxheti i Shtetit
PRJ-000088,"Shërbimi i hartimit të studimeve gjeologjike, sizmologjike, eficencës dhe VNM-ve",INST-0126,,2026,230,Financim i huaj
PRJ-000089,"Loti II : Mbikqyrje e objektit: ""Rehabilitim sheshit të pallateve 39, 42/4, 43, 44, 40, rehabilitim i sheshit të pallateve 496, sistemimi i rrugës ""Lirak Dodbiba"", i rrugës ""Gani Daiu"" dhe rrugës ""Mustafa Bodini"", sistemimi i rrugës “Qamil Xhaja”, lagjja",INST-0065,,2026,230,Buxheti i Shtetit
PRJ-000090,"“Mbikqyrja e punimeve në disa objekte"", i ndarë në lote",INST-0065,,2026,231,Financim i huaj
PRJ-000091,"Loti I : Mbikqyrje e objektit: ""Rehabilitimi i shesheve të pallateve 83/1, të pallatit 107/2; të pallateve 586 dhe rrugës “Ramazan Sina”, i shesheve të pallateve 587, 588, 688/1, i sheshit përpara pallateve 645/1, 645/3, 645/4, në lagjen Vullnetari, siste",INST-0065,,2026,231,Buxheti i Shtetit
PRJ-000092,Supervizimi i vepres : “Rehabilitimi i sistemit ushqyes nga rezervuari i Likomilit në rezervuarin e Vriserasë”,INST-0125,,2026,231,Financim i huaj
PRJ-000093,"“Kosha të Vegjël Metalik, Karro Dore me Kosh me Mekanizëm”",INST-0569,,2026,231,Buxheti i Shtetit
PRJ-000094,Loti 1- “Blerje filma për aparaturen per grafi digitale,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-000095,Loti 3- “Blerje Filma për aparaturen e grafise  e Spitalit Kucove”,INST-0621,,2026,231,Financim i huaj
PRJ-000096,“BLERJE FILMA X-RAY DIGITAL DHE FILMAT MAMOGRAFISE PER NJE PERIUDHE 24 MUJORE” E NDARE NE 3 (TRE) LOTE,INST-0621,,2026,230,Financim i huaj
PRJ-000097,Loti 2- “Blerje Filma për aparaturen e mamografisë”,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-000098,"""Blerje material për riparimë të pjesshmë në shkolla""",INST-0164,,2026,231,Financim i huaj
PRJ-000099,"Biletë udhëtimi ajror Tiranë, Shqipëri – New Delhi, Indi – Tiranë, Shqipëri.",INST-0535,,2026,230,Buxheti i Shtetit
PRJ-000100,Blerje transena,INST-0587,,2026,230,Financim i huaj
PRJ-000101,Blerje pjese kembimi per mjetet motorrike te Bashkise Fushe-Arrez,INST-0130,,2026,231,Financim i huaj
PRJ-000102,Blerje materiale per rehabilitimin e Kroit te Qytetit,INST-0157,,2026,230,Të ardhura të trashiguara
PRJ-000103,“Materiale për ndricimin e qytetit për rastin e festive të fundvitit”.,INST-0116,,2026,230,Të ardhura të trashiguara
PRJ-000104,Bileta të udhëtimit për Ministrinë e Arsimit në Strasburg në datat 22 shtator – 25 shtator 2026.,INST-0364,,2026,231,Buxheti i Shtetit
PRJ-000105,"Blerje bilete të transportit ajror ndërkombëtar, me destinacion në Bruksel dhe Stamboll",INST-0089,,2026,231,Të ardhura të trashiguara
PRJ-000106,blerje materiale dekori,INST-0066,,2026,231,Financim i huaj
PRJ-000107,""" Rehabilitim nga permbytjet ne infrastrukturen e demtuar, faza II """,INST-0151,,2026,230,Buxheti i Shtetit
PRJ-000108,"Hidroizolim i tarracave dhe rehabilitim i sistemit te furnizimit me uji ne 3 pallate, ne “Lagjen e Re”, Rruga e Sportit, Selenice",INST-0167,,2026,230,Buxheti i Shtetit
PRJ-000109,Loti X: Supervizion punimesh ne objektin „Instalim sisteme kamerash sigurie ne shkolla“,INST-0150,,2026,231,Financim i huaj
PRJ-000110,Loti IX: Supervizion punimesh ne objektin „Rehabilitim pastrim i kanaleve kulluese“,INST-0150,,2026,230,Buxheti i Shtetit
PRJ-000111,Loti VIII: Supervizion punimesh ne objektin „Sistemim i pjesshem te kullimit te ujerave te bardha te qytetit Koplik dhe Bajze“,INST-0150,,2026,230,Financim i huaj
PRJ-000112,Loti VII: Supervizion punimesh ne objektin „Sistemim Asfaltim rruge te brendshme fshati Pjetroshan“,INST-0150,,2026,230,Financim i huaj
PRJ-000113,Loti VI: Supervizion punimesh ne objektin „Sistemim asfaltim rruge te brendshme Flake“,INST-0150,,2026,231,Të ardhura të trashiguara
PRJ-000114,"Loti V: Supervizion punimesh ne objektin „Riparim me Asfalt te rrugeve (Ktosh, Gril, Reç,Mosel, Vukpalaj)“",INST-0150,,2026,231,Buxheti i Shtetit
PRJ-000115,Loti IV: Supervizion punimesh ne objektin „Sistemim asfaltim rruga Kisha e Grilit poshte“,INST-0150,,2026,231,Financim i huaj
PRJ-000116,Loti III: Supervizion punimesh ne objektin „Sistemim asfaltim rruga e fshatit Stare Hot“,INST-0150,,2026,231,Të ardhura të trashiguara
PRJ-000117,Loti II: Supervizion punimesh ne objektin „Sistemim asfaltim rruga Grude Fushe Siper“,INST-0150,,2026,230,Buxheti i Shtetit
PRJ-000118,Supervizim objektesh ndertimore,INST-0150,,2026,230,Të ardhura të trashiguara
PRJ-000119,Loti I: Supervizion punimesh ne objektin „Sistemim Asfaltim rruge te brendshme fshati Demiraj“,INST-0150,,2026,230,Të ardhura të trashiguara
PRJ-000120,Blerje kuti votimi,INST-0535,,2026,230,Buxheti i Shtetit
PRJ-000121,"Supervizim i punimeve per  :""Rikualifikimin e bllokut te banimit ne lagjen ""Isa Boletini""",INST-0175,,2026,231,Të ardhura të trashiguara
PRJ-000122,"Biletë vajtje - ardhje, Tirane – Stamboll – Tirane per FIN per pjesemarrje ne konferencen nderkombetare”2026 FIG & UNECE WPLA International Conference” ne Stamboll, Turqi.",INST-1012,,2026,231,Financim i huaj
PRJ-000123,"SHPENZIME PËR QIRAMARRJE APARATE DHE PAISJE TEKNIKE, MAKINERI",INST-0057,,2026,230,Të ardhura të trashiguara
PRJ-000124,Rikonstruksioni i urës në hyrje të fshatit Kallarat,INST-0134,,2026,231,Të ardhura të trashiguara
PRJ-000125,Rikonstruksioni i urave në fshatin Kallarat,INST-0134,,2026,230,Buxheti i Shtetit
PRJ-000126,BLERJE STANDARTE DROGE,INST-0621,,2026,231,Buxheti i Shtetit
PRJ-000127,Rikonstruksioni i urës së varur Kallarat,INST-0134,,2026,231,Financim i huaj
PRJ-000128,"Blerje dhe furnizim me ushqim të ambalazhuar për qen (Junior dhe Adult), për nevojat e Strehës së Kafshëve",INST-0175,,2026,231,Buxheti i Shtetit
PRJ-000129,Rikonstruksion i Urës Qafë Hite,INST-0134,,2026,231,Financim i huaj
PRJ-000130,Blerje Vegla Pune,INST-0121,,2026,230,Financim i huaj
PRJ-000131,Rikonstruksion i rrugeve te Brendshme te Bashkise Cerrik,INST-0119,,2026,230,Të ardhura të trashiguara
PRJ-000132,"“Lëndë djegëse, karburant, naftë D1 për kaldajat”",INST-1009,,2026,231,Të ardhura të trashiguara
PRJ-000133,"Mbrojtja lumore e rruges Gribe -Kukur nga lumi i Verces "" Bashkia Gramsh",INST-0132,,2026,231,Të ardhura të trashiguara
PRJ-000134,Permiresimi i sinjalistikes rrugore ne rruget e qytetit,INST-0131,,2026,231,Buxheti i Shtetit
PRJ-000135,Rikonstruksion i çerdhes nr. 4 Shkozet,INST-0126,,2026,230,Financim i huaj
PRJ-000136,"REHABILITIM I PARKUT CLIRIM, RAJONI NR. 1",INST-0117,,2026,230,Financim i huaj
PRJ-000137,"Blerje Bileta Avioni për Madrid, Spanjë",INST-0100,,2026,230,Financim i huaj
PRJ-000138,"Sistemim-Asfaltim I Rrugicave Në Lindje Të Superstradës, Qendër Thumanë, Nj.A.Thumanë, Bashkia  Krujë",INST-0142,,2026,230,Të ardhura të trashiguara
PRJ-000139,""" Rikonstruksion vepra ujore, faza II""",INST-0151,,2026,231,Të ardhura të trashiguara
PRJ-000140,Shërbim GPS dhe monitorim për autoambulancat.,INST-0621,,2026,230,Të ardhura të trashiguara
PRJ-000141,Blerje materiale hidraulike per mirembajtjen e rrjetit te ujit te pijshem dhe te ujrave te zeza,INST-0970,,2026,231,Të ardhura të trashiguara
PRJ-000142,"Rehabilitim i shkollës 9 vjeçare “Ali Xhetani” Zenisht, Ndërtim i palestrës dhe terreneve sportive",INST-0153,,2026,230,Financim i huaj
PRJ-000143,"Rikualifikim Urban I Shesheve Të Pallateve Të Reja (Zona Pdyv Pikësore) Në Qytetin Krujë, Bashkia  Krujë",INST-0142,,2026,230,Financim i huaj
PRJ-000144,“Ndërtim i rrugës pedonale në Bashkinë Pustec”,INST-0512,,2026,230,Të ardhura të trashiguara
PRJ-000145,"“Blerjen e 1 (një) bilete udhëtimi me avion, vajtje-ardhje me itinerar Tiranë-Bari-Tiranë, klasi ekonomik për 1 (një) person” .",INST-0859,,2026,230,Të ardhura të trashiguara
PRJ-000146,Blerjen e biletave për transport ajror,INST-0024,,2026,231,Financim i huaj
PRJ-000147,"""Blerje biletë avioni vajtje-ardhje” për 1 (një) person me itinerar  Tiranë – Bordeaux (vajtje) dhe Bordeaux - Tiranë (ardhje).",INST-0940,,2026,230,Buxheti i Shtetit
PRJ-000148,"Biletë vajtje - ardhje Tirane – Athine – Tirane per FTI per pjesemarje ne konferencen nderkombetare “The 2nd International Interdisciplinary Conference of PHD Holders in the Public Sector"" Athine, Greqi",INST-1012,,2026,231,Të ardhura të trashiguara
PRJ-000149,Bileta të udhëtimit për Ministrinë e Mjedisit në Bruksel në datën 22 Shtator 2026.,INST-0364,,2026,230,Të ardhura të trashiguara
PRJ-000150,Bileta të udhëtimit për Ministrinë e Mbrojtjes në qytetin e Romës (Itali) në datat 21 Shtator – 23 Shtator 2026.,INST-0364,,2026,230,Buxheti i Shtetit
PRJ-000151,Blerje bileta avioni Tirane - JFK New York - Tirane,INST-0336,,2026,231,Financim i huaj
PRJ-000152,"Blerje bilete udhëtimi me avion, Athinë - Rabat – Casabanca - Tiranë",INST-0543,,2026,231,Financim i huaj
PRJ-000153,"Blerje bilete udhëtimi me avion, Tiranë - Paris - Tirane",INST-0543,,2026,231,Buxheti i Shtetit
PRJ-000154,Furnizim dhe shërbime me ushqim për menca,INST-0172,,2026,230,Financim i huaj
PRJ-000155,Mbikëqyrje për zbatimin e punimeve të objektit: Rikonstruksion i shkollës 9-vjeçare Xhelal Berberi Delvinë + Palestër,INST-0120,,2026,231,Financim i huaj
PRJ-000156,Transport personeli,INST-0588,,2026,231,Të ardhura të trashiguara
PRJ-000157,"Sherbim (prerje, transport, asortim) per dru zjarri dhe blerje peleti per ngrohje",INST-0130,,2026,230,Buxheti i Shtetit
PRJ-000158,Blerje karburant   per nevojat e Shoqerise,INST-0959,,2026,230,Financim i huaj
PRJ-000159,“Lubrifikant”,INST-0569,,2026,230,Buxheti i Shtetit
PRJ-000160,"“Blerje led wall, Bashkia Mirditë”.",INST-0155,,2026,230,Buxheti i Shtetit
PRJ-000161,Blerje pelet dhe dru zjarri,INST-0581,,2026,230,Financim i huaj
PRJ-000162,"“Investime Muzeu muzealizimi, Bashkia Mirditë”",INST-0155,,2026,230,Buxheti i Shtetit
PRJ-000163,Materiale ndertimi,INST-0566,,2026,231,Të ardhura të trashiguara
PRJ-000164,Blerje Karburant dhe Vaj për automjete,INST-0436,,2026,230,Financim i huaj
PRJ-000165,"Bileta të udhëtimit për Ministrinë e Infrastrukturës dhe Energjisë në Vjenë, Austri, në datat 21.09.2026- 23.09.2026.",INST-0364,,2026,231,Financim i huaj
PRJ-000166,"""Blerje Buldozier""",INST-0164,,2026,231,Të ardhura të trashiguara
PRJ-000167,BLERJE PLEHRA KIMIKE,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-000168,Blerje softe informatike profesionale.,INST-0940,,2026,230,Financim i huaj
PRJ-000169,Riparimi i Rrugeve me Asfalto-Beton,INST-0144,,2026,230,Të ardhura të trashiguara
PRJ-000170,Ndricues,INST-0576,,2026,230,Financim i huaj
PRJ-000171,"""Bashkëfinancim ""Për restaurimi i godinës së kopshtit jagodinë dhe zyrës së pleqesisë""",INST-0164,,2026,231,Financim i huaj
PRJ-000172,"Blerje (furnizim/vendosje) materialit Asfalt, të nevojshëm për rehabilitimin dhe mirëmbajtjen e rrugëve të brendëshme të Bashkisë Fier",INST-0574,,2026,230,Buxheti i Shtetit
PRJ-000173,BLERJE PAJISJESH MJEKËSORE PËR QKTGJ-NË DHE BANKAT E GJAKUT NË TIRANË,INST-0621,,2026,231,Të ardhura të trashiguara
PRJ-000174,Karburant (Gazoil 10 ppm),INST-0588,,2026,230,Të ardhura të trashiguara
PRJ-000175,"Blerje pjese këmbimi, goma dhe bateri",INST-0332,,2026,231,Financim i huaj
PRJ-000176,LOTI 2: BLERJE E ANALIZATORIT HEMATOLOGJIK PËR LABORATORIN E KONTROLLIT TË CILËSISË SË PRODUKTEVE TË GJAKUT NË QKTGJ,INST-0621,,2026,230,Financim i huaj
PRJ-000177,BLERJE E ANALIZATORIT HEMATOLOGJIK PËR LABORATORIN E KONTROLLIT TË CILËSISË PËR QKTGJ DHE MODERNIZIMI I ZINXHIRIT FTOHËS PËR QKTGJ  DHE BANKAT E GJAKUT NË TIRANË,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-000178,LOTI 1: MODERNIZIMI I ZINXHIRIT FTOHËS PËR QKTGJ DHE BANKAT E GJAKUT NË TIRANË,INST-0621,,2026,230,Buxheti i Shtetit
PRJ-000179,Riparimi i dëmtimeve të turbinave të AG1 dhe AG3 në HEC Fierzë dhe 5 (pesë)  agregatet në Hec Vau i Dejës,INST-0921,,2026,231,Të ardhura të trashiguara
PRJ-000180,"""Ndërtimi i bibliotekës së re të qytetit Roskovec""",INST-0164,,2026,230,Buxheti i Shtetit
PRJ-000181,Krijimi i Muzeut te Luftes se Ftohte ne Porto Palermo. Rijetesimi i Tunelit dhe ish-kazermave ushtarake,INST-0021,,2026,230,Të ardhura të trashiguara
PRJ-000182,Rehabilitimi ne segmenteve te ndryshme rrugore,INST-0131,,2026,231,Të ardhura të trashiguara
PRJ-000183,"Sistemim asfaltim i rruges se fshatit Celebi, Nj Adm Trebisht, Bashkia Bulqizë",INST-0118,,2026,230,Financim i huaj
PRJ-000184,Blerje bileta avioni Tiranë – Hagë – Tiranë,INST-0541,,2026,230,Financim i huaj
PRJ-000185,Bileta të udhëtimit me destinacion në New York për delegacionin e Ministrisë për Evropën dhe Punët e Jashtme në datat 19 Shtator – 26 Shtator 2026,INST-0364,,2026,230,Buxheti i Shtetit
PRJ-000186,Blerje bileta avioni Tirane - Rotterdam Hage - Tirane,INST-0336,,2026,231,Financim i huaj
PRJ-000187,Blerje bilete Tirane-Orlando-Tirane,INST-0663,,2026,230,Të ardhura të trashiguara
PRJ-000188,"Bileta të udhëtimit me destinacion në Viene, per Ministrine e Shendetesise dhe Mireqenies Sociale në datat 13-15 Shtator 2026",INST-0364,,2026,230,Buxheti i Shtetit
PRJ-000189,Blerje biletash vajtje - ardhje  Tiranë - Barcelonë (Spanjë) - Tiranë,INST-1010,,2026,230,Buxheti i Shtetit
PRJ-000190,Siguracion i godinës.,INST-0927,,2026,231,Financim i huaj
PRJ-000191,Siguracion: Loti i I : Siguracion i aktiveve të qëndrueshme (ndërtesës) së Filialit të Postës sh.a Tiranë. Loti i II: Siguracion TPL per mjetet motorrike të Filialit Tiranë,INST-0927,,2026,230,Buxheti i Shtetit
PRJ-000192,Siguracioni i mjeteve motorrike,INST-0927,,2026,231,Buxheti i Shtetit
