kodi_projekti,referenca_kerkeses_obp,real_ref_no,chain_status,numri_angazhimit,numri_kontrates,real_winner_nipt,real_contract_value,numri_fatures,fature_statusi,numri_urdherit_shpenzimit,contract_link_is_real_match
PRJ-000027,REQ-000028,REF-00074-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000028,,,never_procured,,,,,,,,
PRJ-000029,REQ-000030,REF-99949-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000030,,,never_procured,,,,,,,,
PRJ-000031,REQ-000032,REF-99969-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000032,REQ-000033,REF-99967-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000033,REQ-000034,REF-99964-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000034,REQ-000035,REF-99962-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000035,REQ-000036,REF-99957-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000036,REQ-000037,REF-99960-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000037,,,never_procured,,,,,,,,
PRJ-000038,REQ-000039,REF-00048-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000039,,,never_procured,,,,,,,,
PRJ-000040,REQ-000041,REF-00064-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000041,REQ-000042,REF-00015-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000042,REQ-000043,REF-99995-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000043,REQ-000044,REF-99913-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000044,REQ-000045,REF-99984-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000045,,,never_procured,,,,,,,,
PRJ-000046,,,never_procured,,,,,,,,
PRJ-000047,,,never_procured,,,,,,,,
PRJ-000048,,,never_procured,,,,,,,,
PRJ-000049,,,never_procured,,,,,,,,
PRJ-000050,,,never_procured,,,,,,,,
PRJ-000051,,,never_procured,,,,,,,,
PRJ-000052,,,never_procured,,,,,,,,
PRJ-000053,,,never_procured,,,,,,,,
PRJ-000054,,,never_procured,,,,,,,,
PRJ-000055,,,never_procured,,,,,,,,
PRJ-000056,,,never_procured,,,,,,,,
PRJ-000057,REQ-000058,REF-99855-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000058,REQ-000059,REF-99790-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000059,,,never_procured,,,,,,,,
PRJ-000060,REQ-000061,REF-99885-09-16-2026,procured_no_contract,,,,,,,,
PRJ-000061,REQ-000062,REF-99851-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000062,REQ-000063,REF-99838-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000063,,,never_procured,,,,,,,,
PRJ-000064,REQ-000065,REF-99744-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000065,REQ-000066,REF-99873-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000066,REQ-000067,REF-99777-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000067,REQ-000068,REF-99883-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000068,REQ-000069,REF-99839-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000069,REQ-000070,REF-99843-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000070,,,never_procured,,,,,,,,
PRJ-000071,REQ-000072,REF-99745-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000072,REQ-000073,REF-99834-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000073,,,never_procured,,,,,,,,
PRJ-000074,REQ-000075,REF-99820-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000075,REQ-000076,REF-99879-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000076,REQ-000077,REF-99866-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000077,REQ-000078,REF-99763-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000078,REQ-000079,REF-99854-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000079,REQ-000080,REF-99705-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000080,,,never_procured,,,,,,,,
PRJ-000081,REQ-000082,REF-99878-09-15-2026,procured_no_contract,,,,,,,,
PRJ-000082,,,never_procured,,,,,,,,
PRJ-000083,,,never_procured,,,,,,,,
PRJ-000084,,,never_procured,,,,,,,,
PRJ-000085,,,never_procured,,,,,,,,
PRJ-000086,,,never_procured,,,,,,,,
PRJ-000087,REQ-000088,REF-99681-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000088,REQ-000089,REF-99669-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000089,,,never_procured,,,,,,,,
PRJ-000090,,,never_procured,,,,,,,,
PRJ-000091,,,never_procured,,,,,,,,
PRJ-000092,REQ-000093,REF-99550-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000093,REQ-000094,REF-99678-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000094,REQ-000095,REF-99641-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000095,REQ-000096,REF-99645-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000096,REQ-000097,REF-99637-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000097,,,never_procured,,,,,,,,
PRJ-000098,REQ-000099,REF-99656-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000099,,,never_procured,,,,,,,,
PRJ-000100,REQ-000101,REF-99615-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000101,REQ-000102,REF-99611-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000102,REQ-000103,REF-99606-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000103,REQ-000104,REF-99576-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000104,,,never_procured,,,,,,,,
PRJ-000105,,,never_procured,,,,,,,,
PRJ-000106,REQ-000107,REF-99535-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000107,REQ-000108,REF-99616-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000108,REQ-000109,REF-99593-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000109,,,never_procured,,,,,,,,
PRJ-000110,,,never_procured,,,,,,,,
PRJ-000111,,,never_procured,,,,,,,,
PRJ-000112,,,never_procured,,,,,,,,
PRJ-000113,,,never_procured,,,,,,,,
PRJ-000114,,,never_procured,,,,,,,,
PRJ-000115,,,never_procured,,,,,,,,
PRJ-000116,,,never_procured,,,,,,,,
PRJ-000117,,,never_procured,,,,,,,,
PRJ-000118,REQ-000119,REF-99450-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000119,,,never_procured,,,,,,,,
PRJ-000120,REQ-000121,REF-99560-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000121,REQ-000122,REF-99703-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000122,,,never_procured,,,,,,,,
PRJ-000123,REQ-000124,REF-99665-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000124,REQ-000125,REF-99565-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000125,REQ-000126,REF-99559-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000126,REQ-000127,REF-99680-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000127,REQ-000128,REF-99562-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000128,REQ-000129,REF-99570-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000129,REQ-000130,REF-99571-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000130,REQ-000131,REF-99551-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000131,REQ-000132,REF-99573-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000132,REQ-000133,REF-99495-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000133,REQ-000134,REF-99670-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000134,REQ-000135,REF-99540-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000135,REQ-000136,REF-99660-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000136,REQ-000137,REF-99553-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000137,,,never_procured,,,,,,,,
PRJ-000138,REQ-000139,REF-99596-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000139,REQ-000140,REF-99588-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000140,REQ-000141,REF-99672-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000141,REQ-000142,REF-99583-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000142,REQ-000143,REF-99677-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000143,REQ-000144,REF-99582-09-14-2026,procured_no_contract,,,,,,,,
PRJ-000144,REQ-000145,REF-99310-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000145,,,never_procured,,,,,,,,
PRJ-000146,,,never_procured,,,,,,,,
PRJ-000147,,,never_procured,,,,,,,,
PRJ-000148,,,never_procured,,,,,,,,
PRJ-000149,,,never_procured,,,,,,,,
PRJ-000150,,,never_procured,,,,,,,,
PRJ-000151,,,never_procured,,,,,,,,
PRJ-000152,,,never_procured,,,,,,,,
PRJ-000153,,,never_procured,,,,,,,,
PRJ-000154,REQ-000155,REF-99482-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000155,REQ-000156,REF-99384-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000156,REQ-000157,REF-99423-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000157,REQ-000158,REF-99414-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000158,REQ-000159,REF-99472-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000159,REQ-000160,REF-99479-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000160,REQ-000161,REF-99456-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000161,REQ-000162,REF-99453-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000162,REQ-000163,REF-99393-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000163,REQ-000164,REF-99038-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000164,REQ-000165,REF-99481-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000165,,,never_procured,,,,,,,,
PRJ-000166,REQ-000167,REF-99421-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000167,REQ-000168,REF-99463-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000168,REQ-000169,REF-99285-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000169,REQ-000170,REF-99420-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000170,REQ-000171,REF-99400-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000171,REQ-000172,REF-99382-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000172,REQ-000173,REF-99483-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000173,REQ-000174,REF-99432-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000174,REQ-000175,REF-99394-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000175,REQ-000176,REF-99485-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000176,REQ-000177,REF-99392-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000177,REQ-000178,REF-99381-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000178,REQ-000179,REF-99388-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000179,REQ-000180,REF-99429-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000180,REQ-000181,REF-99426-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000181,,,never_procured,,,,,,,,
PRJ-000182,REQ-000183,REF-99461-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000183,REQ-000184,REF-99445-09-11-2026,procured_no_contract,,,,,,,,
PRJ-000184,,,never_procured,,,,,,,,
PRJ-000185,,,never_procured,,,,,,,,
PRJ-000186,,,never_procured,,,,,,,,
PRJ-000187,,,never_procured,,,,,,,,
PRJ-000188,,,never_procured,,,,,,,,
PRJ-000189,,,never_procured,,,,,,,,
PRJ-000190,,,never_procured,,,,,,,,
PRJ-000191,REQ-000192,REF-99359-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000192,,,never_procured,,,,,,,,
PRJ-000193,REQ-000194,REF-99340-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000194,REQ-000195,REF-99330-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000195,REQ-000196,REF-99348-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000196,REQ-000197,REF-99351-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000197,REQ-000198,REF-99331-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000198,,,never_procured,,,,,,,,
PRJ-000199,,,never_procured,,,,,,,,
PRJ-000200,,,never_procured,,,,,,,,
PRJ-000201,REQ-000202,REF-99312-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000202,,,never_procured,,,,,,,,
PRJ-000203,REQ-000204,REF-99241-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000204,REQ-000205,REF-99246-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000205,REQ-000206,REF-99323-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000206,REQ-000207,REF-99327-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000207,REQ-000208,REF-99261-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000208,REQ-000209,REF-99259-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000209,REQ-000210,REF-99206-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000210,REQ-000211,REF-99208-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000211,REQ-000212,REF-99210-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000212,REQ-000213,REF-99212-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000213,REQ-000214,REF-99204-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000214,REQ-000215,REF-99214-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000215,REQ-000216,REF-99335-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000216,REQ-000217,REF-99317-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000217,REQ-000218,REF-99355-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000218,REQ-000219,REF-99324-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000219,REQ-000220,REF-99306-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000220,,,never_procured,,,,,,,,
PRJ-000221,REQ-000222,REF-99311-09-10-2026,procured_no_contract,,,,,,,,
PRJ-000222,,,never_procured,,,,,,,,
PRJ-000223,,,never_procured,,,,,,,,
PRJ-000224,,,never_procured,,,,,,,,
PRJ-000225,,,never_procured,,,,,,,,
PRJ-000226,,,never_procured,,,,,,,,
PRJ-000227,,,never_procured,,,,,,,,
PRJ-000228,,,never_procured,,,,,,,,
PRJ-000229,REQ-000230,REF-99104-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000230,REQ-000231,REF-99081-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000231,REQ-000232,REF-99037-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000232,REQ-000233,REF-99185-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000233,REQ-000234,REF-99171-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000234,REQ-000235,REF-99151-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000235,REQ-000236,REF-99122-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000236,REQ-000237,REF-99114-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000237,,,never_procured,,,,,,,,
PRJ-000238,REQ-000239,REF-99053-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000239,REQ-000240,REF-99035-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000240,REQ-000241,REF-99158-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000241,REQ-000242,REF-99177-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000242,REQ-000243,REF-99111-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000243,,,never_procured,,,,,,,,
PRJ-000244,REQ-000245,REF-99140-09-09-2026,procured_no_contract,,,,,,,,
PRJ-000245,,,never_procured,,,,,,,,
PRJ-000246,,,never_procured,,,,,,,,
PRJ-000247,,,never_procured,,,,,,,,
PRJ-000248,,,never_procured,,,,,,,,
PRJ-000249,,,never_procured,,,,,,,,
PRJ-000250,,,never_procured,,,,,,,,
PRJ-000251,,,never_procured,,,,,,,,
PRJ-000252,,,never_procured,,,,,,,,
PRJ-000253,REQ-000254,REF-98987-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000254,REQ-000255,REF-98966-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000255,REQ-000256,REF-98895-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000256,REQ-000257,REF-98903-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000257,REQ-000258,REF-99013-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000258,REQ-000259,REF-99009-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000259,,,never_procured,,,,,,,,
PRJ-000260,REQ-000261,REF-98970-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000261,REQ-000262,REF-98965-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000262,REQ-000263,REF-98905-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000263,REQ-000264,REF-98942-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000264,REQ-000265,REF-98927-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000265,,,never_procured,,,,,,,,
PRJ-000266,REQ-000267,REF-98974-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000267,REQ-000268,REF-98913-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000268,REQ-000269,REF-98910-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000269,REQ-000270,REF-98954-09-08-2026,procured_no_contract,,,,,,,,
PRJ-000270,,,never_procured,,,,,,,,
PRJ-000271,,,never_procured,,,,,,,,
PRJ-000272,,,never_procured,,,,,,,,
PRJ-000273,,,never_procured,,,,,,,,
PRJ-000274,,,never_procured,,,,,,,,
PRJ-000275,,,never_procured,,,,,,,,
PRJ-000276,,,never_procured,,,,,,,,
PRJ-000277,,,never_procured,,,,,,,,
PRJ-000278,,,never_procured,,,,,,,,
PRJ-000279,,,never_procured,,,,,,,,
PRJ-000280,REQ-000281,REF-98814-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000281,REQ-000282,REF-98818-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000282,REQ-000283,REF-98835-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000283,REQ-000284,REF-98807-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000284,REQ-000285,REF-98767-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000285,REQ-000286,REF-98817-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000286,REQ-000287,REF-98809-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000287,REQ-000288,REF-98850-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000288,REQ-000289,REF-98812-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000289,REQ-000290,REF-98789-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000290,REQ-000291,REF-98858-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000291,REQ-000292,REF-98853-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000292,REQ-000293,REF-98856-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000293,REQ-000294,REF-98859-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000294,REQ-000295,REF-98351-08-31-2026,procured_no_contract,,,,,,,,
PRJ-000295,REQ-000296,REF-98860-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000296,REQ-000297,REF-98823-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000297,REQ-000298,REF-98784-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000298,REQ-000299,REF-98819-09-04-2026,procured_no_contract,,,,,,,,
PRJ-000299,,,never_procured,,,,,,,,
PRJ-000300,,,never_procured,,,,,,,,
PRJ-000301,REQ-000302,REF-98751-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000302,REQ-000303,REF-98746-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000303,REQ-000304,REF-98731-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000304,REQ-000305,REF-98729-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000305,REQ-000306,REF-98745-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000306,REQ-000307,REF-98740-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000307,REQ-000308,REF-98737-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000308,REQ-000309,REF-98733-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000309,REQ-000310,REF-98735-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000310,REQ-000311,REF-98491-09-01-2026,procured_no_contract,,,,,,,,
PRJ-000311,REQ-000312,REF-98705-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000312,,,never_procured,,,,,,,,
PRJ-000313,REQ-000314,REF-98674-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000314,REQ-000315,REF-98605-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000315,,,never_procured,,,,,,,,
PRJ-000316,REQ-000317,REF-98669-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000317,REQ-000318,REF-98753-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000318,REQ-000319,REF-98750-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000319,REQ-000320,REF-98747-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000320,REQ-000321,REF-98743-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000321,REQ-000322,REF-98742-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000322,REQ-000323,REF-98713-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000323,REQ-000324,REF-98649-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000324,REQ-000325,REF-98680-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000325,REQ-000326,REF-98677-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000326,REQ-000327,REF-98625-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000327,REQ-000328,REF-98752-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000328,REQ-000329,REF-98727-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000329,,,never_procured,,,,,,,,
PRJ-000330,,,never_procured,,,,,,,,
PRJ-000331,REQ-000332,REF-98688-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000332,REQ-000333,REF-98670-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000333,,,never_procured,,,,,,,,
PRJ-000334,REQ-000335,REF-98723-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000335,REQ-000336,REF-98725-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000336,,,never_procured,,,,,,,,
PRJ-000337,,,never_procured,,,,,,,,
PRJ-000338,REQ-000339,REF-98748-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000339,REQ-000340,REF-98717-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000340,REQ-000341,REF-98645-09-03-2026,procured_no_contract,,,,,,,,
PRJ-000341,,,never_procured,,,,,,,,
PRJ-000342,,,never_procured,,,,,,,,
PRJ-000343,,,never_procured,,,,,,,,
PRJ-000344,REQ-000345,REF-98603-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000345,REQ-000346,REF-98528-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000346,REQ-000347,REF-98542-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000347,REQ-000348,REF-98580-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000348,REQ-000349,REF-98579-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000349,REQ-000350,REF-98538-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000350,REQ-000351,REF-98483-09-01-2026,procured_no_contract,,,,,,,,
PRJ-000351,REQ-000352,REF-98537-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000352,REQ-000353,REF-98539-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000353,REQ-000354,REF-98456-09-01-2026,procured_no_contract,,,,,,,,
PRJ-000354,REQ-000355,REF-98592-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000355,REQ-000356,REF-98584-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000356,REQ-000357,REF-98608-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000357,REQ-000358,REF-98570-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000358,REQ-000359,REF-98578-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000359,REQ-000360,REF-98533-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000360,REQ-000361,REF-98604-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000361,REQ-000362,REF-98586-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000362,REQ-000363,REF-98545-09-02-2026,procured_no_contract,,,,,,,,
PRJ-000363,,,never_procured,,,,,,,,
PRJ-000364,,,never_procured,,,,,,,,
PRJ-000365,REQ-000366,REF-98492-09-01-2026,procured_no_contract,,,,,,,,
PRJ-000366,REQ-000367,REF-98439-09-01-2026,procured_no_contract,,,,,,,,
PRJ-000367,REQ-000368,REF-98370-09-01-2026,procured_no_contract,,,,,,,,
PRJ-000368,,,never_procured,,,,,,,,
PRJ-000369,,,never_procured,,,,,,,,
PRJ-000370,,,never_procured,,,,,,,,
PRJ-000371,,,never_procured,,,,,,,,
