numri_angazhimit,numri_kerkeses_blerje,numri_kontrates,lloji_ub,blerësi,data_krijimit,statusi,kodi_projekti,kodi_llogarie_ekonomike,kodi_institucioni,nipt_perfituesit,vlera_angazhuar,statusi_aprovuar,periudha_muaji,periudha_viti,kodi_ministrie_linje,kodi_kapitulli,kodi_programi,kodi_entitet_qeverises,kodi_thesar_dege,kodi_tip_buxheti
ANG-0000011,INST-0487-2025-000011,KontratëNr-0000012,Standarte,Blerës 138,2025-12-29,Aprovuar,PRJ-006489,230,INST-0487,J61813529P,8479152.0,Po,12,2025,Ministria e Arsimit dhe Sportit,Kapitulli 4,,Vendore,Durrës,Buxheti i Shtetit
ANG-0000012,INST-0496-2025-000012,KontratëNr-0000013,Standarte,Blerës 135,2025-03-20,Aprovuar,PRJ-006490,230,INST-0496,J62903182B,30235385.0,Po,3,2025,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 4,,SHA,Durrës,Buxheti i Shtetit
ANG-0000013,INST-0165-2025-000013,KontratëNr-0000014,Standarte,Blerës 108,2025-09-22,Aprovuar,PRJ-006484,231,INST-0165,K17710805A,15979677.5,Po,9,2025,Ministria e Arsimit dhe Sportit,Kapitulli 1,,Vendore,Elbasan,Të ardhura të trashiguara
ANG-0000014,INST-0057-2025-000014,KontratëNr-0000015,Standarte,Blerës 158,2025-12-29,Aprovuar,PRJ-006479,231,INST-0057,J61814094W,2234758.0,Po,12,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 5,,Vendore,Tiranë,Buxheti i Shtetit
ANG-0000015,INST-0057-2025-000015,KontratëNr-0000016,Standarte,Blerës 62,2025-12-29,Aprovuar,PRJ-006480,230,INST-0057,K21711502V,1923663.06,Po,12,2025,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,Qendrore,Fier,Financim i huaj
ANG-0000016,INST-0853-2025-000016,KontratëNr-0000017,Standarte,Blerës 8,2025-12-31,Aprovuar,PRJ-006475,231,INST-0853,J76705049N,238390.0,Po,12,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 7,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000017,INST-0173-2025-000017,KontratëNr-0000018,e_Planifikuar,Blerës 38,2025-12-31,Aprovuar,PRJ-006476,231,INST-0173,L01325010Q,1819000.0,Po,12,2025,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,Qendrore,Korçë,Buxheti i Shtetit
ANG-0000018,INST-0644-2025-000018,KontratëNr-0000019,Standarte,Blerës 100,2025-12-31,Aprovuar,PRJ-006477,231,INST-0644,K31420012M,0.0,Po,12,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 6,,Vendore,Vlorë,Buxheti i Shtetit
ANG-0000019,INST-0915-2025-000019,KontratëNr-0000020,Standarte,Blerës 177,2025-09-29,Aprovuar,PRJ-006433,230,INST-0915,K21518003F,36040376.0,Po,9,2025,Ministria e Financave dhe Ekonomisë,Kapitulli 7,,Qendrore,Durrës,Buxheti i Shtetit
ANG-0000020,INST-0168-2025-000020,KontratëNr-0000021,Standarte,Blerës 41,2025-12-31,Aprovuar,PRJ-006431,230,INST-0168,J77119021M,959091.2,Po,12,2025,Ministria e Financave dhe Ekonomisë,Kapitulli 6,,Qendrore,Korçë,Buxheti i Shtetit
ANG-0000021,INST-0146-2025-000021,KontratëNr-0000022,Standarte,Blerës 168,2025-12-31,Aprovuar,PRJ-006432,230,INST-0146,K71903025A,0.0,Po,12,2025,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 3,,SHA,Tiranë,Financim i huaj
ANG-0000022,INST-1002-2025-000022,KontratëNr-0000023,Standarte,Blerës 153,2025-12-31,Aprovuar,PRJ-006430,230,INST-1002,K64108001G,2795000.0,Po,12,2025,Ministria e Financave dhe Ekonomisë,Kapitulli 7,,SHA,Durrës,Financim i huaj
ANG-0000023,INST-0328-2026-000023,KontratëNr-0000024,Standarte,Blerës 73,2026-01-01,Aprovuar,PRJ-006424,230,INST-0328,K11715005L,100000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 4,,Qendrore,Tiranë,Buxheti i Shtetit
ANG-0000024,INST-0395-2026-000024,KontratëNr-0000025,Standarte,Blerës 143,2026-01-01,Aprovuar,PRJ-006425,231,INST-0395,L42018012R,68340.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 1,,Vendore,Tiranë,Të ardhura të trashiguara
ANG-0000025,INST-0395-2026-000025,KontratëNr-0000026,Standarte,Blerës 52,2026-01-01,Aprovuar,PRJ-006426,230,INST-0395,K61628006R,5833.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 7,,Qendrore,Elbasan,Financim i huaj
ANG-0000026,INST-0161-2026-000026,,Standarte,Blerës 12,2026-01-03,Aprovuar,PRJ-006417,230,INST-0161,M31520504K,100000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 5,,SHA,Tiranë,Buxheti i Shtetit
ANG-0000027,INST-0568-2026-000027,KontratëNr-0000028,e_Planifikuar,Blerës 14,2026-01-03,Aprovuar,PRJ-006419,230,INST-0568,K62315503U,75000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 7,,SHA,Vlorë,Të ardhura të trashiguara
ANG-0000028,INST-0621-2026-000028,KontratëNr-0000029,Standarte,Blerës 186,2026-01-05,Aprovuar,PRJ-006422,231,INST-0621,K31422029Q,100000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 1,,Vendore,Vlorë,Financim i huaj
ANG-0000029,INST-0621-2026-000029,KontratëNr-0000030,Standarte,Blerës 143,2026-01-05,Aprovuar,PRJ-006423,230,INST-0621,K31422029Q,100000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 7,,Vendore,Vlorë,Buxheti i Shtetit
ANG-0000030,INST-0172-2026-000030,KontratëNr-0000031,e_Planifikuar,Blerës 72,2026-01-05,Aprovuar,PRJ-006418,230,INST-0172,K62315503U,75000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,Qendrore,Elbasan,Financim i huaj
ANG-0000031,INST-0243-2026-000031,KontratëNr-0000032,e_Planifikuar,Blerës 88,2026-01-05,Aprovuar,PRJ-006411,230,INST-0243,K29824103U,74410.0,Po,1,2026,Ministria e Brendshme,Kapitulli 2,,SHA,Fier,Financim i huaj
ANG-0000032,INST-0057-2026-000032,KontratëNr-0000033,Standarte,Blerës 78,2026-01-05,Aprovuar,PRJ-006414,230,INST-0057,M31520504K,83333.0,Po,1,2026,Ministria e Brendshme,Kapitulli 3,,Qendrore,Fier,Buxheti i Shtetit
ANG-0000033,INST-0853-2026-000033,KontratëNr-0000034,Standarte,Blerës 52,2026-01-05,Aprovuar,PRJ-006415,231,INST-0853,L28029301Q,100000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 3,,Vendore,Fier,Të ardhura të trashiguara
ANG-0000034,INST-0098-2026-000034,KontratëNr-0000035,Standarte,Blerës 89,2026-01-05,Aprovuar,PRJ-006416,231,INST-0098,K62315503U,75000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 1,,Vendore,Durrës,Të ardhura të trashiguara
ANG-0000035,INST-0337-2026-000035,KontratëNr-0000036,Standarte,Blerës 92,2026-01-05,Aprovuar,PRJ-006410,230,INST-0337,K62315503U,99000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,SHA,Korçë,Financim i huaj
ANG-0000036,INST-0144-2026-000036,KontratëNr-0000037,e_Planifikuar,Blerës 42,2026-01-05,Aprovuar,PRJ-006408,230,INST-0144,L77406402A,97920.0,Po,1,2026,Ministria e Brendshme,Kapitulli 4,,Vendore,Fier,Të ardhura të trashiguara
ANG-0000037,INST-1010-2026-000037,KontratëNr-0000038,e_Planifikuar,Blerës 113,2026-01-05,Aprovuar,PRJ-006409,230,INST-1010,M22314001N,100000.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 5,,Vendore,Fier,Buxheti i Shtetit
ANG-0000038,INST-0456-2026-000038,KontratëNr-0000039,e_Planifikuar,Blerës 140,2026-01-05,Aprovuar,PRJ-006403,231,INST-0456,M31520504K,83333.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 5,,SHA,Durrës,Financim i huaj
ANG-0000039,INST-0162-2026-000039,KontratëNr-0000040,e_Planifikuar,Blerës 138,2026-01-05,Aprovuar,PRJ-006405,231,INST-0162,J71601012S,7340.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 1,,SHA,Fier,Financim i huaj
ANG-0000040,INST-0405-2026-000040,KontratëNr-0000041,Standarte,Blerës 21,2026-01-05,Aprovuar,PRJ-006407,231,INST-0405,J64103483H,16000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 4,,Qendrore,Durrës,Financim i huaj
ANG-0000041,INST-0243-2026-000041,KontratëNr-0000042,Standarte,Blerës 79,2026-01-05,Aprovuar,PRJ-006406,230,INST-0243,L28029301Q,100.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 2,,Qendrore,Elbasan,Të ardhura të trashiguara
ANG-0000042,INST-0019-2026-000042,KontratëNr-0000043,e_Planifikuar,Blerës 106,2026-01-05,Aprovuar,PRJ-006399,230,INST-0019,K62315503U,75000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,SHA,Vlorë,Buxheti i Shtetit
ANG-0000043,INST-0242-2026-000043,KontratëNr-0000044,Standarte,Blerës 101,2026-01-05,Aprovuar,PRJ-006398,230,INST-0242,M31520504K,100000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 2,,Vendore,Durrës,Financim i huaj
ANG-0000044,INST-0985-2026-000044,KontratëNr-0000045,Standarte,Blerës 42,2026-01-06,Aprovuar,PRJ-006401,230,INST-0985,M53420402O,100000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 6,,SHA,Fier,Financim i huaj
ANG-0000045,INST-0172-2026-000045,KontratëNr-0000046,e_Planifikuar,Blerës 86,2026-01-06,Aprovuar,PRJ-006402,231,INST-0172,L71719018A,1144480.0,Po,1,2026,Ministria e Brendshme,Kapitulli 4,,Qendrore,Vlorë,Të ardhura të trashiguara
ANG-0000046,INST-0334-2026-000046,KontratëNr-0000047,Standarte,Blerës 159,2026-01-07,Aprovuar,PRJ-006400,230,INST-0334,K41420001V,618000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 7,,Vendore,Fier,Buxheti i Shtetit
ANG-0000047,INST-0332-2026-000047,KontratëNr-0000048,Standarte,Blerës 163,2026-01-07,Aprovuar,PRJ-006396,230,INST-0332,K41420001V,133500.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 3,,Vendore,Shkodër,Të ardhura të trashiguara
ANG-0000048,INST-0172-2026-000048,KontratëNr-0000049,Standarte,Blerës 76,2026-01-07,Aprovuar,PRJ-006392,230,INST-0172,K13127201O,132250.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 4,,Qendrore,Vlorë,Buxheti i Shtetit
ANG-0000049,INST-0133-2026-000049,KontratëNr-0000050,Standarte,Blerës 169,2026-01-07,Aprovuar,PRJ-006388,230,INST-0133,K41420001V,1780000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 3,,Qendrore,Elbasan,Buxheti i Shtetit
ANG-0000050,INST-0621-2026-000050,KontratëNr-0000051,Standarte,Blerës 77,2026-01-07,Aprovuar,PRJ-006389,230,INST-0621,K41420001V,369520.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 4,,Qendrore,Vlorë,Financim i huaj
ANG-0000051,INST-1014-2026-000051,KontratëNr-0000052,Standarte,Blerës 51,2026-01-07,Aprovuar,PRJ-006390,231,INST-1014,K72218022J,14685.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 7,,SHA,Elbasan,Financim i huaj
ANG-0000052,INST-0243-2026-000052,KontratëNr-0000053,Standarte,Blerës 77,2026-01-07,Aprovuar,PRJ-006387,231,INST-0243,J61905015B,16712100.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 4,,SHA,Shkodër,Financim i huaj
ANG-0000053,INST-0645-2026-000053,KontratëNr-0000054,Standarte,Blerës 99,2026-01-07,Aprovuar,PRJ-006384,231,INST-0645,L12510413V,1426692.3,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 3,,SHA,Fier,Të ardhura të trashiguara
ANG-0000054,INST-0877-2026-000054,KontratëNr-0000055,Standarte,Blerës 43,2026-01-08,Aprovuar,PRJ-006385,230,INST-0877,K31321008J,123750.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,SHA,Korçë,Buxheti i Shtetit
ANG-0000055,INST-0535-2026-000055,KontratëNr-0000056,e_Planifikuar,Blerës 82,2026-01-08,Aprovuar,PRJ-006382,231,INST-0535,L61312008O,60000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 4,,Qendrore,Korçë,Financim i huaj
ANG-0000056,INST-0355-2026-000056,,Standarte,Blerës 87,2026-01-08,Aprovuar,PRJ-006383,231,INST-0355,L64425401K,447500.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 4,,Vendore,Shkodër,Buxheti i Shtetit
ANG-0000057,INST-0133-2026-000057,KontratëNr-0000058,e_Planifikuar,Blerës 144,2026-01-08,Aprovuar,PRJ-006375,231,INST-0133,J64103422D,94752.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 1,,SHA,Elbasan,Buxheti i Shtetit
ANG-0000058,INST-0098-2026-000058,KontratëNr-0000059,Standarte,Blerës 22,2026-01-08,Aprovuar,PRJ-006376,231,INST-0098,K72218022J,201600.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 4,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000059,INST-0364-2026-000059,KontratëNr-0000060,Standarte,Blerës 82,2026-01-08,Aprovuar,PRJ-006378,231,INST-0364,L18328201N,99600.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 5,,Qendrore,Vlorë,Financim i huaj
ANG-0000060,INST-1014-2026-000060,KontratëNr-0000061,Standarte,Blerës 106,2026-01-08,Aprovuar,PRJ-006377,231,INST-1014,L18328201N,99917.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,Qendrore,Tiranë,Buxheti i Shtetit
ANG-0000061,INST-0535-2026-000061,KontratëNr-0000062,Standarte,Blerës 140,2026-01-08,Aprovuar,PRJ-006380,231,INST-0535,J61814028F,66840.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 3,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000062,INST-0554-2026-000062,KontratëNr-0000063,e_Planifikuar,Blerës 180,2026-01-08,Aprovuar,PRJ-006366,231,INST-0554,K61516506H,552000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 2,,Qendrore,Durrës,Financim i huaj
ANG-0000063,INST-1006-2026-000063,KontratëNr-0000064,e_Planifikuar,Blerës 139,2026-01-08,Aprovuar,PRJ-006373,230,INST-1006,L28029301Q,2232000.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 7,,SHA,Tiranë,Të ardhura të trashiguara
ANG-0000064,INST-0843-2026-000064,KontratëNr-0000065,Standarte,Blerës 161,2026-01-08,Aprovuar,PRJ-006372,231,INST-0843,L01914003T,484000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 1,,Qendrore,Shkodër,Financim i huaj
ANG-0000065,INST-0148-2026-000065,KontratëNr-0000066,e_Planifikuar,Blerës 5,2026-01-09,Aprovuar,PRJ-006374,230,INST-0148,L12510413V,2387306.76,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 4,,SHA,Fier,Financim i huaj
ANG-0000066,INST-1005-2026-000066,KontratëNr-0000067,e_Planifikuar,Blerës 184,2026-01-09,Aprovuar,PRJ-006368,231,INST-1005,L03202402E,99730.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 2,,Qendrore,Shkodër,Buxheti i Shtetit
ANG-0000067,INST-1005-2026-000067,KontratëNr-0000068,Standarte,Blerës 137,2026-01-08,Aprovuar,PRJ-006369,230,INST-1005,K78317002F,5467741.92,Po,1,2026,Ministria e Brendshme,Kapitulli 6,,Vendore,Elbasan,Financim i huaj
ANG-0000068,INST-0666-2026-000068,,e_Planifikuar,Blerës 17,2026-01-09,Aprovuar,PRJ-006371,231,INST-0666,J62903750A,83500.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 3,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000069,INST-0554-2026-000069,KontratëNr-0000070,Standarte,Blerës 29,2026-01-09,Aprovuar,PRJ-006363,230,INST-0554,M31310054F,2813760.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 7,,Qendrore,Korçë,Buxheti i Shtetit
ANG-0000070,INST-0554-2026-000070,KontratëNr-0000071,e_Planifikuar,Blerës 125,2026-01-09,Aprovuar,PRJ-006364,231,INST-0554,K91803020F,2166000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 6,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000071,INST-0554-2026-000071,KontratëNr-0000072,e_Planifikuar,Blerës 130,2026-01-09,Aprovuar,PRJ-006365,231,INST-0554,K52207006Q,5100000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 4,,SHA,Vlorë,Financim i huaj
ANG-0000072,INST-0554-2026-000072,KontratëNr-0000073,Standarte,Blerës 29,2026-01-09,Aprovuar,PRJ-006367,230,INST-0554,L72429007F,3540000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 7,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000073,INST-0161-2026-000073,KontratëNr-0000074,Standarte,Blerës 66,2026-01-09,Aprovuar,PRJ-006361,231,INST-0161,K01417001C,80000.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 7,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000074,INST-0920-2026-000074,KontratëNr-0000075,Standarte,Blerës 76,2026-01-09,Aprovuar,PRJ-006359,230,INST-0920,L61814009B,880000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 4,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000075,INST-0162-2026-000075,,Standarte,Blerës 195,2026-01-09,Aprovuar,PRJ-006356,230,INST-0162,K82701401L,99995.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 2,,Vendore,Fier,Buxheti i Shtetit
ANG-0000076,INST-0244-2026-000076,KontratëNr-0000077,Standarte,Blerës 147,2026-01-10,Aprovuar,PRJ-006354,231,INST-0244,J91809007H,25000.0,Po,1,2026,Ministria e Brendshme,Kapitulli 1,,SHA,Vlorë,Të ardhura të trashiguara
ANG-0000077,INST-0621-2026-000077,KontratëNr-0000078,Standarte,Blerës 64,2026-01-12,Aprovuar,PRJ-006349,231,INST-0621,J61814028F,12780.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 1,,SHA,Shkodër,Financim i huaj
ANG-0000078,INST-0337-2026-000078,KontratëNr-0000079,e_Planifikuar,Blerës 197,2026-01-12,Aprovuar,PRJ-006350,230,INST-0337,J61814028F,70120.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 2,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000079,INST-0621-2026-000079,KontratëNr-0000080,Standarte,Blerës 60,2026-01-12,Aprovuar,PRJ-006353,230,INST-0621,L01606034A,27690000.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 3,,SHA,Fier,Buxheti i Shtetit
ANG-0000080,INST-0516-2026-000080,KontratëNr-0000081,Standarte,Blerës 120,2026-01-12,Aprovuar,PRJ-006352,231,INST-0516,L31714005J,64750.0,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 7,,Qendrore,Tiranë,Buxheti i Shtetit
ANG-0000081,INST-0119-2026-000081,,Standarte,Blerës 87,2026-01-12,Aprovuar,PRJ-006346,230,INST-0119,M42515406V,99960.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 7,,SHA,Shkodër,Buxheti i Shtetit
ANG-0000082,INST-0337-2026-000082,KontratëNr-0000083,Standarte,Blerës 175,2026-01-12,Aprovuar,PRJ-006348,231,INST-0337,K13909401G,3990900.0,Po,1,2026,Ministria e Brendshme,Kapitulli 4,,SHA,Korçë,Buxheti i Shtetit
ANG-0000083,INST-0958-2026-000083,KontratëNr-0000084,Standarte,Blerës 47,2026-01-12,Aprovuar,PRJ-006344,230,INST-0958,K51612031J,40500.0,Po,1,2026,Ministria e Brendshme,Kapitulli 7,,Vendore,Vlorë,Financim i huaj
ANG-0000084,INST-0005-2026-000084,KontratëNr-0000085,Standarte,Blerës 183,2026-01-12,Aprovuar,PRJ-006342,231,INST-0005,K62202046U,217500.0,Po,1,2026,Ministria e Financave dhe Ekonomisë,Kapitulli 2,,Vendore,Shkodër,Të ardhura të trashiguara
ANG-0000085,INST-0168-2026-000085,KontratëNr-0000086,Standarte,Blerës 33,2026-01-12,Aprovuar,PRJ-006343,230,INST-0168,K91628009V,115000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 1,,SHA,Elbasan,Të ardhura të trashiguara
ANG-0000086,INST-0332-2026-000086,KontratëNr-0000087,Standarte,Blerës 96,2026-01-12,Aprovuar,PRJ-006345,230,INST-0332,K01515004T,10962.0,Po,1,2026,Ministria e Brendshme,Kapitulli 1,,Qendrore,Durrës,Të ardhura të trashiguara
ANG-0000087,INST-0040-2026-000087,KontratëNr-0000088,Standarte,Blerës 59,2026-01-12,Aprovuar,PRJ-006347,231,INST-0040,K52115005W,21600.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 6,,SHA,Tiranë,Të ardhura të trashiguara
ANG-0000088,INST-0487-2026-000088,KontratëNr-0000089,Standarte,Blerës 150,2026-01-12,Aprovuar,PRJ-006335,231,INST-0487,J81615501M,45000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 6,,Vendore,Tiranë,Financim i huaj
ANG-0000089,INST-0057-2026-000089,KontratëNr-0000090,Standarte,Blerës 167,2026-01-13,Aprovuar,PRJ-006336,231,INST-0057,L91703022T,6214670.0,Po,1,2026,Ministria e Bujqësisë dhe Zhvillimit Rural,Kapitulli 3,,Vendore,Vlorë,Të ardhura të trashiguara
ANG-0000090,INST-0122-2026-000090,KontratëNr-0000091,Standarte,Blerës 3,2026-01-13,Aprovuar,PRJ-006337,230,INST-0122,J61814028F,25860.0,Po,1,2026,Ministria e Shëndetësisë dhe Mbrojtjes Sociale,Kapitulli 5,,SHA,Elbasan,Financim i huaj
ANG-0000091,INST-0496-2026-000091,,e_Planifikuar,Blerës 25,2026-01-13,Aprovuar,PRJ-006339,231,INST-0496,K72429007E,11000.0,Po,1,2026,Ministria e Infrastruktures dhe Energjisë,Kapitulli 7,,SHA,Korçë,Financim i huaj
ANG-0000092,INST-0337-2026-000092,KontratëNr-0000093,Standarte,Blerës 62,2026-01-13,Aprovuar,PRJ-006338,230,INST-0337,K21405001N,34800.0,Po,1,2026,Ministria e Brendshme,Kapitulli 5,,Vendore,Fier,Të ardhura të trashiguara
ANG-0000093,INST-0928-2026-000093,KontratëNr-0000094,Standarte,Blerës 34,2026-01-13,Aprovuar,PRJ-006340,231,INST-0928,K31510059D,57414638.86,Po,1,2026,Ministria e Arsimit dhe Sportit,Kapitulli 6,,SHA,Elbasan,Buxheti i Shtetit
