id_dokumenti_financiar,statusi
DOC-0000348,regjistruar
DOC-0000349,regjistruar
DOC-0000350,regjistruar
DOC-0000351,regjistruar
DOC-0000352,regjistruar
DOC-0000353,regjistruar
DOC-0000354,regjistruar
DOC-0000355,regjistruar
DOC-0000356,regjistruar
DOC-0000357,regjistruar
DOC-0000358,regjistruar
DOC-0000359,regjistruar
DOC-0000360,regjistruar
DOC-0000361,regjistruar
DOC-0000362,regjistruar
DOC-0000363,regjistruar
DOC-0000364,regjistruar
DOC-0000365,regjistruar
DOC-0000366,regjistruar
DOC-0000367,regjistruar
DOC-0000368,regjistruar
DOC-0000369,regjistruar
DOC-0000370,regjistruar
DOC-0000371,regjistruar
DOC-0000372,regjistruar
DOC-0000373,regjistruar
DOC-0000374,regjistruar
DOC-0000375,regjistruar
DOC-0000376,regjistruar
DOC-0000377,regjistruar
DOC-0000378,regjistruar
DOC-0000379,regjistruar
DOC-0000380,regjistruar
DOC-0000381,regjistruar
DOC-0000382,regjistruar
DOC-0000383,regjistruar
DOC-0000384,regjistruar
DOC-0000385,regjistruar
DOC-0000386,regjistruar
DOC-0000387,regjistruar
DOC-0000388,regjistruar
DOC-0000389,regjistruar
DOC-0000390,regjistruar
DOC-0000391,regjistruar
DOC-0000392,regjistruar
DOC-0000393,regjistruar
DOC-0000394,regjistruar
DOC-0000395,regjistruar
DOC-0000396,regjistruar
DOC-0000397,regjistruar
DOC-0000398,regjistruar
DOC-0000399,regjistruar
DOC-0000400,regjistruar
DOC-0000401,regjistruar
DOC-0000402,regjistruar
DOC-0000403,regjistruar
DOC-0000404,regjistruar
DOC-0000405,regjistruar
DOC-0000406,regjistruar
DOC-0000407,regjistruar
DOC-0000408,regjistruar
DOC-0000409,regjistruar
DOC-0000410,regjistruar
DOC-0000411,regjistruar
DOC-0000412,regjistruar
DOC-0000413,regjistruar
DOC-0000414,regjistruar
DOC-0000415,regjistruar
DOC-0000416,regjistruar
DOC-0000417,regjistruar
DOC-0000418,regjistruar
DOC-0000419,regjistruar
DOC-0000420,regjistruar
DOC-0000421,regjistruar
DOC-0000422,regjistruar
DOC-0000423,regjistruar
DOC-0000424,regjistruar
DOC-0000425,regjistruar
DOC-0000426,regjistruar
DOC-0000427,regjistruar
DOC-0000428,regjistruar
DOC-0000429,regjistruar
DOC-0000430,regjistruar
DOC-0000431,regjistruar
DOC-0000432,regjistruar
DOC-0000433,regjistruar
DOC-0000434,regjistruar
DOC-0000435,regjistruar
DOC-0000436,regjistruar
DOC-0000437,regjistruar
DOC-0000438,regjistruar
DOC-0000439,regjistruar
DOC-0000440,regjistruar
DOC-0000441,regjistruar
DOC-0000442,regjistruar
DOC-0000443,regjistruar
DOC-0000444,regjistruar
DOC-0000445,regjistruar
DOC-0000446,regjistruar
DOC-0000447,regjistruar
DOC-0000448,regjistruar
DOC-0000449,regjistruar
DOC-0000450,regjistruar
DOC-0000451,regjistruar
DOC-0000452,regjistruar
DOC-0000453,regjistruar
DOC-0000454,regjistruar
DOC-0000455,regjistruar
DOC-0000456,regjistruar
DOC-0000457,regjistruar
DOC-0000458,regjistruar
DOC-0000459,regjistruar
DOC-0000460,regjistruar
DOC-0000461,regjistruar
DOC-0000462,regjistruar
DOC-0000463,regjistruar
DOC-0000464,regjistruar
DOC-0000465,regjistruar
DOC-0000466,regjistruar
DOC-0000467,regjistruar
DOC-0000468,regjistruar
DOC-0000469,regjistruar
DOC-0000470,regjistruar
DOC-0000471,regjistruar
DOC-0000472,regjistruar
DOC-0000473,regjistruar
DOC-0000474,regjistruar
DOC-0000475,regjistruar
DOC-0000476,regjistruar
DOC-0000477,regjistruar
DOC-0000478,regjistruar
DOC-0000479,regjistruar
DOC-0000480,regjistruar
DOC-0000481,regjistruar
DOC-0000482,regjistruar
DOC-0000483,regjistruar
DOC-0000484,regjistruar
DOC-0000485,regjistruar
DOC-0000486,regjistruar
DOC-0000487,regjistruar
DOC-0000488,regjistruar
DOC-0000489,regjistruar
DOC-0000490,regjistruar
DOC-0000491,regjistruar
DOC-0000492,regjistruar
DOC-0000493,regjistruar
DOC-0000494,regjistruar
DOC-0000495,regjistruar
DOC-0000496,regjistruar
DOC-0000497,regjistruar
DOC-0000498,regjistruar
DOC-0000499,regjistruar
DOC-0000500,regjistruar
DOC-0000501,regjistruar
DOC-0000502,regjistruar
DOC-0000503,regjistruar
DOC-0000504,regjistruar
DOC-0000505,regjistruar
DOC-0000506,regjistruar
DOC-0000507,regjistruar
DOC-0000508,regjistruar
DOC-0000509,regjistruar
DOC-0000510,regjistruar
DOC-0000511,regjistruar
DOC-0000512,regjistruar
DOC-0000513,regjistruar
DOC-0000514,regjistruar
DOC-0000515,regjistruar
DOC-0000516,regjistruar
DOC-0000517,regjistruar
DOC-0000518,regjistruar
DOC-0000519,regjistruar
DOC-0000520,regjistruar
DOC-0000521,regjistruar
DOC-0000522,regjistruar
DOC-0000523,regjistruar
DOC-0000524,regjistruar
DOC-0000525,regjistruar
DOC-0000526,regjistruar
DOC-0000527,regjistruar
DOC-0000528,regjistruar
DOC-0000529,regjistruar
DOC-0000530,regjistruar
DOC-0000531,regjistruar
DOC-0000532,regjistruar
DOC-0000533,regjistruar
DOC-0000534,regjistruar
DOC-0000535,regjistruar
DOC-0000536,regjistruar
DOC-0000537,regjistruar
DOC-0000538,regjistruar
DOC-0000539,regjistruar
DOC-0000540,regjistruar
DOC-0000541,regjistruar
DOC-0000542,regjistruar
DOC-0000543,regjistruar
DOC-0000544,regjistruar
DOC-0000545,regjistruar
DOC-0000546,regjistruar
DOC-0000547,regjistruar
DOC-0000548,regjistruar
DOC-0000549,regjistruar
DOC-0000550,regjistruar
DOC-0000551,regjistruar
DOC-0000552,regjistruar
DOC-0000553,regjistruar
DOC-0000554,regjistruar
DOC-0000555,regjistruar
DOC-0000556,regjistruar
DOC-0000557,regjistruar
DOC-0000558,regjistruar
DOC-0000559,regjistruar
DOC-0000560,regjistruar
DOC-0000561,regjistruar
DOC-0000562,regjistruar
DOC-0000563,regjistruar
DOC-0000564,regjistruar
DOC-0000565,regjistruar
DOC-0000566,regjistruar
DOC-0000567,regjistruar
DOC-0000568,regjistruar
DOC-0000569,regjistruar
DOC-0000570,regjistruar
DOC-0000571,regjistruar
DOC-0000572,regjistruar
DOC-0000573,regjistruar
DOC-0000574,regjistruar
DOC-0000575,regjistruar
DOC-0000576,regjistruar
DOC-0000577,regjistruar
DOC-0000578,regjistruar
DOC-0000579,regjistruar
DOC-0000580,regjistruar
DOC-0000581,regjistruar
DOC-0000582,regjistruar
DOC-0000583,regjistruar
DOC-0000584,regjistruar
DOC-0000585,regjistruar
DOC-0000586,regjistruar
DOC-0000587,regjistruar
DOC-0000588,regjistruar
DOC-0000589,regjistruar
DOC-0000590,regjistruar
DOC-0000591,regjistruar
DOC-0000592,regjistruar
DOC-0000593,regjistruar
DOC-0000594,regjistruar
DOC-0000595,regjistruar
DOC-0000596,regjistruar
DOC-0000597,regjistruar
DOC-0000598,regjistruar
DOC-0000599,regjistruar
DOC-0000600,regjistruar
DOC-0000601,regjistruar
DOC-0000602,regjistruar
DOC-0000603,regjistruar
DOC-0000604,regjistruar
DOC-0000605,regjistruar
DOC-0000606,regjistruar
DOC-0000607,regjistruar
DOC-0000608,regjistruar
DOC-0000609,regjistruar
DOC-0000610,regjistruar
DOC-0000611,regjistruar
DOC-0000612,regjistruar
DOC-0000613,regjistruar
DOC-0000614,regjistruar
DOC-0000615,regjistruar
DOC-0000616,regjistruar
DOC-0000617,regjistruar
DOC-0000618,regjistruar
DOC-0000619,regjistruar
DOC-0000620,regjistruar
DOC-0000621,regjistruar
DOC-0000622,regjistruar
DOC-0000623,regjistruar
DOC-0000624,regjistruar
DOC-0000625,regjistruar
DOC-0000626,regjistruar
DOC-0000627,regjistruar
DOC-0000628,regjistruar
DOC-0000629,regjistruar
DOC-0000630,regjistruar
DOC-0000631,regjistruar
DOC-0000632,regjistruar
DOC-0000633,regjistruar
DOC-0000634,regjistruar
DOC-0000635,regjistruar
DOC-0000636,regjistruar
DOC-0000637,regjistruar
DOC-0000638,regjistruar
DOC-0000639,regjistruar
DOC-0000640,regjistruar
DOC-0000641,regjistruar
DOC-0000642,regjistruar
DOC-0000643,regjistruar
DOC-0000644,regjistruar
DOC-0000645,regjistruar
DOC-0000646,regjistruar
DOC-0000647,regjistruar
DOC-0000648,regjistruar
DOC-0000649,regjistruar
DOC-0000650,regjistruar
DOC-0000651,regjistruar
DOC-0000652,regjistruar
DOC-0000653,regjistruar
DOC-0000654,regjistruar
DOC-0000655,regjistruar
DOC-0000656,regjistruar
DOC-0000657,regjistruar
DOC-0000658,regjistruar
DOC-0000659,regjistruar
DOC-0000660,regjistruar
DOC-0000661,regjistruar
DOC-0000662,regjistruar
DOC-0000663,regjistruar
DOC-0000664,regjistruar
DOC-0000665,regjistruar
DOC-0000666,regjistruar
DOC-0000667,regjistruar
DOC-0000668,regjistruar
DOC-0000669,regjistruar
DOC-0000670,regjistruar
DOC-0000671,regjistruar
DOC-0000672,regjistruar
DOC-0000673,regjistruar
DOC-0000674,regjistruar
DOC-0000675,regjistruar
DOC-0000676,regjistruar
DOC-0000677,regjistruar
DOC-0000678,regjistruar
DOC-0000679,regjistruar
DOC-0000680,regjistruar
DOC-0000681,regjistruar
DOC-0000682,regjistruar
DOC-0000683,regjistruar
DOC-0000684,regjistruar
DOC-0000685,regjistruar
DOC-0000686,regjistruar
DOC-0000687,regjistruar
DOC-0000688,regjistruar
DOC-0000689,regjistruar
DOC-0000690,regjistruar
DOC-0000691,regjistruar
DOC-0000692,regjistruar
DOC-0000693,regjistruar
DOC-0000694,regjistruar
DOC-0000695,regjistruar
DOC-0000696,regjistruar
DOC-0000697,regjistruar
DOC-0000698,regjistruar
DOC-0000699,regjistruar
DOC-0000700,regjistruar
DOC-0000701,regjistruar
DOC-0000702,regjistruar
DOC-0000703,regjistruar
DOC-0000704,regjistruar
DOC-0000705,regjistruar
DOC-0000706,regjistruar
DOC-0000707,regjistruar
DOC-0000708,regjistruar
DOC-0000709,regjistruar
DOC-0000710,regjistruar
DOC-0000711,regjistruar
DOC-0000712,regjistruar
DOC-0000713,regjistruar
DOC-0000714,regjistruar
DOC-0000715,regjistruar
DOC-0000716,regjistruar
DOC-0000717,regjistruar
DOC-0000718,regjistruar
DOC-0000719,regjistruar
DOC-0000720,regjistruar
DOC-0000721,regjistruar
DOC-0000722,regjistruar
DOC-0000723,regjistruar
DOC-0000724,regjistruar
DOC-0000725,regjistruar
DOC-0000726,regjistruar
DOC-0000727,regjistruar
DOC-0000728,regjistruar
DOC-0000729,regjistruar
DOC-0000730,regjistruar
DOC-0000731,regjistruar
DOC-0000732,regjistruar
DOC-0000733,regjistruar
DOC-0000734,regjistruar
DOC-0000735,regjistruar
DOC-0000736,regjistruar
DOC-0000737,regjistruar
DOC-0000738,regjistruar
DOC-0000739,regjistruar
DOC-0000740,regjistruar
DOC-0000741,regjistruar
DOC-0000742,regjistruar
DOC-0000743,regjistruar
DOC-0000744,regjistruar
DOC-0000745,regjistruar
DOC-0000746,regjistruar
DOC-0000747,regjistruar
DOC-0000748,regjistruar
DOC-0000749,regjistruar
DOC-0000750,regjistruar
DOC-0000751,regjistruar
DOC-0000752,regjistruar
DOC-0000753,regjistruar
DOC-0000754,regjistruar
DOC-0000755,regjistruar
DOC-0000756,regjistruar
DOC-0000757,regjistruar
DOC-0000758,regjistruar
DOC-0000759,regjistruar
DOC-0000760,regjistruar
DOC-0000761,regjistruar
DOC-0000762,regjistruar
DOC-0000763,regjistruar
DOC-0000764,regjistruar
DOC-0000765,regjistruar
DOC-0000766,regjistruar
DOC-0000767,regjistruar
DOC-0000768,regjistruar
DOC-0000769,regjistruar
DOC-0000770,regjistruar
DOC-0000771,regjistruar
DOC-0000772,regjistruar
DOC-0000773,regjistruar
DOC-0000774,regjistruar
DOC-0000775,regjistruar
DOC-0000776,regjistruar
DOC-0000777,regjistruar
DOC-0000778,regjistruar
DOC-0000779,regjistruar
DOC-0000780,regjistruar
DOC-0000781,regjistruar
DOC-0000782,regjistruar
DOC-0000783,regjistruar
DOC-0000784,regjistruar
DOC-0000785,regjistruar
DOC-0000786,regjistruar
DOC-0000787,regjistruar
DOC-0000788,regjistruar
DOC-0000789,regjistruar
DOC-0000790,regjistruar
DOC-0000791,regjistruar
DOC-0000792,regjistruar
DOC-0000793,regjistruar
DOC-0000794,regjistruar
DOC-0000795,regjistruar
DOC-0000796,regjistruar
DOC-0000797,regjistruar
DOC-0000798,regjistruar
DOC-0000799,regjistruar
DOC-0000800,regjistruar
DOC-0000801,regjistruar
DOC-0000802,regjistruar
DOC-0000803,regjistruar
DOC-0000804,regjistruar
DOC-0000805,regjistruar
DOC-0000806,regjistruar
DOC-0000807,regjistruar
DOC-0000808,regjistruar
DOC-0000809,regjistruar
DOC-0000810,regjistruar
DOC-0000811,regjistruar
DOC-0000812,regjistruar
DOC-0000813,regjistruar
DOC-0000814,regjistruar
DOC-0000815,regjistruar
DOC-0000816,regjistruar
DOC-0000817,regjistruar
DOC-0000818,regjistruar
DOC-0000819,regjistruar
DOC-0000820,regjistruar
DOC-0000821,regjistruar
DOC-0000822,regjistruar
DOC-0000823,regjistruar
DOC-0000824,regjistruar
DOC-0000825,regjistruar
DOC-0000826,regjistruar
DOC-0000827,regjistruar
DOC-0000828,regjistruar
DOC-0000829,regjistruar
DOC-0000830,regjistruar
DOC-0000831,regjistruar
DOC-0000832,regjistruar
DOC-0000833,regjistruar
DOC-0000834,regjistruar
DOC-0000835,regjistruar
DOC-0000836,regjistruar
DOC-0000837,regjistruar
DOC-0000838,regjistruar
DOC-0000839,regjistruar
DOC-0000840,regjistruar
DOC-0000841,regjistruar
DOC-0000842,regjistruar
DOC-0000843,regjistruar
DOC-0000844,regjistruar
DOC-0000845,regjistruar
DOC-0000846,regjistruar
DOC-0000847,regjistruar
DOC-0000848,regjistruar
DOC-0000849,regjistruar
DOC-0000850,regjistruar
DOC-0000851,regjistruar
DOC-0000852,regjistruar
DOC-0000853,regjistruar
DOC-0000854,regjistruar
DOC-0000855,regjistruar
DOC-0000856,regjistruar
DOC-0000857,regjistruar
DOC-0000858,regjistruar
DOC-0000859,regjistruar
DOC-0000860,regjistruar
DOC-0000861,regjistruar
DOC-0000862,regjistruar
DOC-0000863,regjistruar
DOC-0000864,regjistruar
DOC-0000865,regjistruar
DOC-0000866,regjistruar
DOC-0000867,regjistruar
DOC-0000868,regjistruar
DOC-0000869,regjistruar
DOC-0000870,regjistruar
DOC-0000871,regjistruar
DOC-0000872,regjistruar
DOC-0000873,regjistruar
DOC-0000874,regjistruar
DOC-0000875,regjistruar
DOC-0000876,regjistruar
DOC-0000877,regjistruar
DOC-0000878,regjistruar
DOC-0000879,regjistruar
DOC-0000880,regjistruar
DOC-0000881,regjistruar
DOC-0000882,regjistruar
DOC-0000883,regjistruar
DOC-0000884,regjistruar
DOC-0000885,regjistruar
DOC-0000886,regjistruar
DOC-0000887,regjistruar
DOC-0000888,regjistruar
DOC-0000889,regjistruar
DOC-0000890,regjistruar
DOC-0000891,regjistruar
DOC-0000892,regjistruar
DOC-0000893,regjistruar
DOC-0000894,regjistruar
DOC-0000895,regjistruar
DOC-0000896,regjistruar
DOC-0000897,regjistruar
DOC-0000898,regjistruar
DOC-0000899,regjistruar
DOC-0000900,regjistruar
DOC-0000901,regjistruar
DOC-0000902,regjistruar
DOC-0000903,regjistruar
DOC-0000904,regjistruar
DOC-0000905,regjistruar
DOC-0000906,regjistruar
DOC-0000907,regjistruar
DOC-0000908,regjistruar
DOC-0000909,regjistruar
DOC-0000910,regjistruar
DOC-0000911,regjistruar
DOC-0000912,regjistruar
DOC-0000913,regjistruar
DOC-0000914,regjistruar
DOC-0000915,regjistruar
DOC-0000916,regjistruar
DOC-0000917,regjistruar
DOC-0000918,regjistruar
DOC-0000919,regjistruar
DOC-0000920,regjistruar
DOC-0000921,regjistruar
DOC-0000922,regjistruar
DOC-0000923,regjistruar
DOC-0000924,regjistruar
DOC-0000925,regjistruar
DOC-0000926,regjistruar
DOC-0000927,regjistruar
DOC-0000928,regjistruar
DOC-0000929,regjistruar
DOC-0000930,regjistruar
DOC-0000931,regjistruar
DOC-0000932,regjistruar
DOC-0000933,regjistruar
DOC-0000934,regjistruar
DOC-0000935,regjistruar
DOC-0000936,regjistruar
DOC-0000937,regjistruar
DOC-0000938,regjistruar
DOC-0000939,regjistruar
DOC-0000940,regjistruar
DOC-0000941,regjistruar
DOC-0000942,regjistruar
DOC-0000943,regjistruar
DOC-0000944,regjistruar
DOC-0000945,regjistruar
DOC-0000946,regjistruar
DOC-0000947,regjistruar
DOC-0000948,regjistruar
DOC-0000949,regjistruar
DOC-0000950,regjistruar
DOC-0000951,regjistruar
DOC-0000952,regjistruar
DOC-0000953,regjistruar
DOC-0000954,regjistruar
DOC-0000955,regjistruar
DOC-0000956,regjistruar
DOC-0000957,regjistruar
DOC-0000958,regjistruar
DOC-0000959,regjistruar
DOC-0000960,regjistruar
DOC-0000961,regjistruar
DOC-0000962,regjistruar
DOC-0000963,regjistruar
DOC-0000964,regjistruar
DOC-0000965,regjistruar
DOC-0000966,regjistruar
DOC-0000967,regjistruar
DOC-0000968,regjistruar
DOC-0000969,regjistruar
DOC-0000970,regjistruar
DOC-0000971,regjistruar
DOC-0000972,regjistruar
DOC-0000973,regjistruar
DOC-0000974,regjistruar
DOC-0000975,regjistruar
DOC-0000976,regjistruar
DOC-0000977,regjistruar
DOC-0000978,regjistruar
DOC-0000979,regjistruar
DOC-0000980,regjistruar
DOC-0000981,regjistruar
DOC-0000982,regjistruar
DOC-0000983,regjistruar
DOC-0000984,regjistruar
DOC-0000985,regjistruar
DOC-0000986,regjistruar
DOC-0000987,regjistruar
DOC-0000988,regjistruar
DOC-0000989,regjistruar
DOC-0000990,regjistruar
DOC-0000991,regjistruar
DOC-0000992,regjistruar
DOC-0000993,regjistruar
DOC-0000994,regjistruar
DOC-0000995,regjistruar
DOC-0000996,regjistruar
DOC-0000997,regjistruar
