numri_fatures,numri_angazhimit,nivf_nslf,data_fatures,data_mberritjes_regjistrimit,vlera_fatures,statusi,data_ndryshimit_statusit,arsyeja_refuzimit,furnitor_nipt,kodi_lloj_fature
FAT-0000091,ANG-0000043,NIVF-7252959486,2026-01-22,2026-01-23,55456.38,pranuar,2026-01-30,,M31520504K,pune
FAT-0000092,ANG-0000043,NIVF-9128776190,2026-03-03,2026-03-05,44543.62,pranuar,2026-03-11,,M31520504K,pune
FAT-0000093,ANG-0000044,NIVF-4866885355,2026-01-25,2026-01-29,39568.73,pranuar,2026-02-04,,M53420402O,mall
FAT-0000094,ANG-0000044,NIVF-5206504972,2026-03-03,2026-03-04,60431.27,pranuar,2026-03-11,,M53420402O,mall
FAT-0000095,ANG-0000045,NIVF-5907849335,2026-01-18,2026-01-22,151478.74,pranuar,2026-01-29,,L71719018A,mall
FAT-0000096,ANG-0000045,NIVF-3925871318,2026-03-15,2026-03-15,993001.26,pranuar,2026-03-24,,L71719018A,mall
FAT-0000097,ANG-0000046,NIVF-7570604099,2026-01-26,2026-01-30,283759.06,refuzuar,2026-02-04,Mospërputhje me kontratën,K41420001V,mall
FAT-0000098,ANG-0000046,NIVF-6323919986,2026-03-25,2026-03-25,197978.14,pranuar,2026-03-28,,K41420001V,mall
FAT-0000099,ANG-0000046,NIVF-9488699457,2026-05-08,2026-05-12,136262.8,pranuar,2026-05-17,,K41420001V,mall
FAT-0000100,ANG-0000047,NIVF-9746783576,2026-01-19,2026-01-21,120299.21,refuzuar,2026-01-29,Fiskalizim i pavlefshëm,K41420001V,mall
FAT-0000101,ANG-0000047,NIVF-1516245271,2026-02-21,2026-02-22,13200.79,pranuar,2026-02-24,,K41420001V,mall
FAT-0000102,ANG-0000048,NIVF-3208744803,2026-01-16,2026-01-18,132250.0,pranuar,2026-01-21,,K13127201O,mall
FAT-0000103,ANG-0000049,NIVF-3252069236,2026-01-23,2026-01-27,1045606.1,pranuar,2026-01-31,,K41420001V,mall
FAT-0000104,ANG-0000049,NIVF-1779325374,2026-03-20,2026-03-24,240286.33,pranuar,2026-03-31,,K41420001V,mall
FAT-0000105,ANG-0000049,NIVF-1840351036,2026-05-05,2026-05-06,494107.57,pranuar,2026-05-15,,K41420001V,mall
FAT-0000106,ANG-0000050,NIVF-7876422910,2026-01-24,2026-01-25,69736.11,pranuar,2026-01-26,,K41420001V,sherbim
FAT-0000107,ANG-0000050,NIVF-5403369514,2026-03-14,2026-03-14,299783.89,pranuar,2026-03-16,,K41420001V,sherbim
FAT-0000108,ANG-0000051,NIVF-5687549709,2026-01-13,2026-01-14,6576.55,pranuar,2026-01-21,,K72218022J,sherbim
FAT-0000109,ANG-0000051,NIVF-1293184703,2026-03-03,2026-03-04,8108.45,pranuar,2026-03-07,,K72218022J,sherbim
FAT-0000110,ANG-0000052,NIVF-9833334559,2026-01-26,2026-01-27,361213.46,pranuar,2026-01-31,,J61905015B,pune
FAT-0000111,ANG-0000052,NIVF-3966995459,2026-03-24,2026-03-26,8490063.75,pranuar,2026-03-28,,J61905015B,pune
FAT-0000112,ANG-0000052,NIVF-6095575729,2026-05-22,2026-05-22,7860822.79,pranuar,2026-05-30,,J61905015B,pune
FAT-0000113,ANG-0000053,NIVF-9627121601,2026-01-25,2026-01-27,967919.81,pranuar,2026-01-31,,L12510413V,mall
FAT-0000114,ANG-0000053,NIVF-4111200703,2026-03-05,2026-03-06,410331.77,pranuar,2026-03-15,,L12510413V,mall
FAT-0000115,ANG-0000053,NIVF-1196317107,2026-04-19,2026-04-19,48440.72,pranuar,2026-04-24,,L12510413V,mall
FAT-0000116,ANG-0000054,NIVF-6237696082,2026-01-23,2026-01-25,8272.94,pranuar,2026-02-01,,K31321008J,mall
FAT-0000117,ANG-0000054,NIVF-5686824771,2026-03-06,2026-03-09,115477.06,pranuar,2026-03-16,,K31321008J,mall
FAT-0000118,ANG-0000055,NIVF-5590224302,2026-01-25,2026-01-25,30310.39,pranuar,2026-02-03,,L61312008O,pune
FAT-0000119,ANG-0000055,NIVF-1982404129,2026-02-18,2026-02-18,25873.56,pranuar,2026-02-19,,L61312008O,pune
FAT-0000120,ANG-0000055,NIVF-1284277343,2026-03-23,2026-03-27,3816.05,pranuar,2026-04-04,,L61312008O,pune
FAT-0000121,ANG-0000056,NIVF-8024820971,2026-01-14,2026-01-18,357809.56,pranuar,2026-01-22,,L64425401K,mall
FAT-0000122,ANG-0000056,NIVF-7580795150,2026-03-08,2026-03-12,24480.68,pranuar,2026-03-17,,L64425401K,mall
FAT-0000123,ANG-0000056,NIVF-4777861827,2026-04-02,2026-04-05,65209.76,pranuar,2026-04-06,,L64425401K,mall
FAT-0000124,ANG-0000057,NIVF-1081749938,2026-01-20,2026-01-20,2959.06,pranuar,2026-01-28,,J64103422D,pune
FAT-0000125,ANG-0000057,NIVF-8207228304,2026-02-15,2026-02-18,6320.79,pranuar,2026-02-20,,J64103422D,pune
FAT-0000126,ANG-0000057,NIVF-1309645977,2026-04-10,2026-04-13,85472.16,pranuar,2026-04-22,,J64103422D,pune
FAT-0000127,ANG-0000058,NIVF-4253471442,2026-01-13,2026-01-13,173991.84,pranuar,2026-01-14,,K72218022J,pune
FAT-0000128,ANG-0000058,NIVF-7438682480,2026-02-25,2026-02-27,27608.16,pranuar,2026-03-02,,K72218022J,pune
FAT-0000129,ANG-0000059,NIVF-6302311674,2026-01-27,2026-01-30,99600.0,pranuar,2026-02-08,,L18328201N,sherbim
FAT-0000130,ANG-0000060,NIVF-9218052449,2026-01-26,2026-01-27,68850.27,pranuar,2026-02-03,,L18328201N,pune
FAT-0000131,ANG-0000060,NIVF-2479083693,2026-03-09,2026-03-13,31066.73,pranuar,2026-03-14,,L18328201N,pune
FAT-0000132,ANG-0000061,NIVF-9168283207,2026-01-16,2026-01-16,6663.77,pranuar,2026-01-22,,J61814028F,sherbim
FAT-0000133,ANG-0000061,NIVF-5980304080,2026-02-09,2026-02-10,60176.23,pranuar,2026-02-13,,J61814028F,sherbim
FAT-0000134,ANG-0000062,NIVF-8405434592,2026-01-21,2026-01-21,552000.0,pranuar,2026-01-25,,K61516506H,mall
FAT-0000135,ANG-0000063,NIVF-5576645723,2026-01-23,2026-01-23,2107295.58,pranuar,2026-01-30,,L28029301Q,mall
FAT-0000136,ANG-0000063,NIVF-3721996268,2026-03-12,2026-03-13,124704.42,pranuar,2026-03-16,,L28029301Q,mall
FAT-0000137,ANG-0000064,NIVF-6765940690,2026-01-17,2026-01-19,215411.15,pranuar,2026-01-27,,L01914003T,mall
FAT-0000138,ANG-0000064,NIVF-7583158525,2026-02-07,2026-02-07,243987.29,pranuar,2026-02-14,,L01914003T,mall
FAT-0000139,ANG-0000064,NIVF-7102869129,2026-03-13,2026-03-16,24601.56,pranuar,2026-03-21,,L01914003T,mall
FAT-0000140,ANG-0000065,NIVF-5539351374,2026-01-26,2026-01-29,1512394.07,pranuar,2026-02-06,,L12510413V,sherbim
FAT-0000141,ANG-0000065,NIVF-4382022724,2026-02-18,2026-02-19,874912.69,pranuar,2026-02-23,,L12510413V,sherbim
FAT-0000142,ANG-0000066,NIVF-6882639131,2026-01-22,2026-01-24,32907.62,pranuar,2026-01-28,,L03202402E,mall
FAT-0000143,ANG-0000066,NIVF-4927146077,2026-03-07,2026-03-07,19228.32,pranuar,2026-03-09,,L03202402E,mall
FAT-0000144,ANG-0000066,NIVF-6429231927,2026-04-13,2026-04-17,47594.07,pranuar,2026-04-20,,L03202402E,mall
FAT-0000145,ANG-0000067,NIVF-2341674542,2026-01-26,2026-01-26,1856000.67,pranuar,2026-02-03,,K78317002F,mall
FAT-0000146,ANG-0000067,NIVF-4070260404,2026-03-12,2026-03-15,13614.02,pranuar,2026-03-22,,K78317002F,mall
FAT-0000147,ANG-0000067,NIVF-4207944998,2026-04-05,2026-04-05,3598127.22,refuzuar,2026-04-12,Mungesë dokumentacioni mbështetës,K78317002F,mall
FAT-0000148,ANG-0000068,NIVF-1086626490,2026-01-27,2026-01-28,37679.37,pranuar,2026-02-03,,J62903750A,mall
FAT-0000149,ANG-0000068,NIVF-5129239212,2026-03-19,2026-03-23,25906.82,pranuar,2026-03-31,,J62903750A,mall
FAT-0000150,ANG-0000068,NIVF-5159062999,2026-04-24,2026-04-24,19913.82,pranuar,2026-05-01,,J62903750A,mall
FAT-0000151,ANG-0000069,NIVF-6109687388,2026-01-18,2026-01-21,2044902.69,pranuar,2026-01-24,,M31310054F,mall
FAT-0000152,ANG-0000069,NIVF-8175611807,2026-02-22,2026-02-23,768857.31,pranuar,2026-02-25,,M31310054F,mall
FAT-0000153,ANG-0000070,NIVF-7001065903,2026-01-21,2026-01-22,2166000.0,pranuar,2026-01-30,,K91803020F,mall
FAT-0000154,ANG-0000071,NIVF-2796929023,2026-01-23,2026-01-23,1662803.22,pranuar,2026-01-29,,K52207006Q,mall
FAT-0000155,ANG-0000071,NIVF-3405266624,2026-02-15,2026-02-18,1154552.75,pranuar,2026-02-26,,K52207006Q,mall
FAT-0000156,ANG-0000071,NIVF-4831249202,2026-03-21,2026-03-22,2282644.02,refuzuar,2026-03-24,Mungesë dokumentacioni mbështetës,K52207006Q,mall
FAT-0000157,ANG-0000072,NIVF-6075888372,2026-01-16,2026-01-17,1299398.74,pranuar,2026-01-24,,L72429007F,mall
FAT-0000158,ANG-0000072,NIVF-7862864660,2026-02-25,2026-02-25,484942.91,pranuar,2026-03-05,,L72429007F,mall
FAT-0000159,ANG-0000072,NIVF-2000015401,2026-03-19,2026-03-21,1755658.35,pranuar,2026-03-30,,L72429007F,mall
FAT-0000160,ANG-0000073,NIVF-9869049414,2026-01-28,2026-01-29,1654.05,pranuar,2026-01-31,,K01417001C,pune
FAT-0000161,ANG-0000073,NIVF-5606660935,2026-03-01,2026-03-03,60600.11,pranuar,2026-03-07,,K01417001C,pune
FAT-0000162,ANG-0000073,NIVF-5272687763,2026-03-31,2026-04-03,17745.84,pranuar,2026-04-05,,K01417001C,pune
FAT-0000163,ANG-0000074,NIVF-3683329359,2026-01-27,2026-01-27,405282.41,pranuar,2026-01-28,,L61814009B,mall
FAT-0000164,ANG-0000074,NIVF-2950619410,2026-03-25,2026-03-28,211603.83,pranuar,2026-04-05,,L61814009B,mall
FAT-0000165,ANG-0000074,NIVF-9418712652,2026-05-21,2026-05-23,263113.76,pranuar,2026-05-27,,L61814009B,mall
FAT-0000166,ANG-0000075,NIVF-9490606467,2026-01-16,2026-01-20,43111.61,pranuar,2026-01-23,,K82701401L,mall
FAT-0000167,ANG-0000075,NIVF-4483999232,2026-03-05,2026-03-09,56883.39,pranuar,2026-03-11,,K82701401L,mall
FAT-0000168,ANG-0000076,NIVF-8780877327,2026-01-20,2026-01-20,25000.0,pranuar,2026-01-21,,J91809007H,pune
FAT-0000169,ANG-0000077,NIVF-2263462329,2026-01-25,2026-01-25,12780.0,pranuar,2026-02-02,,J61814028F,pune
FAT-0000170,ANG-0000078,NIVF-1364854779,2026-01-18,2026-01-22,70120.0,pranuar,2026-01-23,,J61814028F,mall
FAT-0000171,ANG-0000079,NIVF-5134151774,2026-01-19,2026-01-23,27690000.0,pranuar,2026-01-25,,L01606034A,sherbim
FAT-0000172,ANG-0000080,NIVF-3523633547,2026-01-27,2026-01-29,28333.59,pranuar,2026-02-02,,L31714005J,sherbim
FAT-0000173,ANG-0000080,NIVF-5043248283,2026-03-18,2026-03-18,32830.39,pranuar,2026-03-21,,L31714005J,sherbim
FAT-0000174,ANG-0000080,NIVF-5529342935,2026-05-15,2026-05-19,3586.02,pranuar,2026-05-25,,L31714005J,sherbim
FAT-0000175,ANG-0000081,NIVF-3998676722,2026-01-30,2026-01-30,99960.0,pranuar,2026-02-02,,M42515406V,pune
FAT-0000176,ANG-0000082,NIVF-5588602425,2026-01-19,2026-01-19,2456026.72,pranuar,2026-01-20,,K13909401G,sherbim
FAT-0000177,ANG-0000082,NIVF-9595650846,2026-02-14,2026-02-17,1122694.54,pranuar,2026-02-24,,K13909401G,sherbim
FAT-0000178,ANG-0000082,NIVF-9189828037,2026-03-13,2026-03-14,412178.74,pranuar,2026-03-19,,K13909401G,sherbim
FAT-0000179,ANG-0000083,NIVF-5999968659,2026-01-26,2026-01-28,26687.44,refuzuar,2026-01-31,Mungesë dokumentacioni mbështetës,K51612031J,mall
FAT-0000180,ANG-0000083,NIVF-2055496422,2026-03-10,2026-03-12,13812.56,pranuar,2026-03-13,,K51612031J,mall
FAT-0000181,ANG-0000084,NIVF-7285652094,2026-01-18,2026-01-20,217500.0,pranuar,2026-01-26,,K62202046U,mall
FAT-0000182,ANG-0000085,NIVF-8201209800,2026-01-28,2026-01-30,115000.0,pranuar,2026-02-03,,K91628009V,mall
FAT-0000183,ANG-0000086,NIVF-8217725505,2026-01-23,2026-01-25,1569.75,pranuar,2026-01-31,,K01515004T,pune
FAT-0000184,ANG-0000086,NIVF-7212569819,2026-02-16,2026-02-19,9392.25,pranuar,2026-02-23,,K01515004T,pune
FAT-0000185,ANG-0000087,NIVF-5865833605,2026-01-18,2026-01-22,2607.76,pranuar,2026-01-26,,K52115005W,pune
FAT-0000186,ANG-0000087,NIVF-6600969286,2026-03-17,2026-03-21,18992.24,pranuar,2026-03-30,,K52115005W,pune
FAT-0000187,ANG-0000088,NIVF-5328530417,2026-01-28,2026-01-29,10567.95,pranuar,2026-02-04,,J81615501M,mall
FAT-0000188,ANG-0000088,NIVF-7794878124,2026-02-23,2026-02-26,20714.79,pranuar,2026-03-03,,J81615501M,mall
FAT-0000189,ANG-0000088,NIVF-7679779255,2026-04-12,2026-04-16,13717.25,pranuar,2026-04-22,,J81615501M,mall
FAT-0000190,ANG-0000089,NIVF-6566105529,2026-01-31,2026-01-31,3933982.56,pranuar,2026-02-04,,L91703022T,mall
FAT-0000191,ANG-0000089,NIVF-8595528517,2026-03-28,2026-03-31,356931.36,pranuar,2026-04-06,,L91703022T,mall
FAT-0000192,ANG-0000089,NIVF-8272917302,2026-05-24,2026-05-24,1923756.08,pranuar,2026-05-28,,L91703022T,mall
FAT-0000193,ANG-0000090,NIVF-8384749941,2026-01-22,2026-01-26,2043.0,pranuar,2026-01-28,,J61814028F,mall
FAT-0000194,ANG-0000090,NIVF-1493846938,2026-02-28,2026-03-03,3805.7,pranuar,2026-03-08,,J61814028F,mall
FAT-0000195,ANG-0000090,NIVF-3717060534,2026-03-24,2026-03-26,20011.3,pranuar,2026-03-29,,J61814028F,mall
FAT-0000196,ANG-0000091,NIVF-4198462717,2026-01-22,2026-01-25,3226.83,pranuar,2026-01-30,,K72429007E,mall
FAT-0000197,ANG-0000091,NIVF-7676369619,2026-02-21,2026-02-21,7773.17,pranuar,2026-02-25,,K72429007E,mall
FAT-0000198,ANG-0000092,NIVF-6485827347,2026-01-24,2026-01-28,3290.01,pranuar,2026-02-03,,K21405001N,mall
FAT-0000199,ANG-0000092,NIVF-7850708028,2026-03-12,2026-03-16,5681.73,pranuar,2026-03-22,,K21405001N,mall
FAT-0000200,ANG-0000092,NIVF-9181525478,2026-04-20,2026-04-24,25828.27,pranuar,2026-05-03,,K21405001N,mall
FAT-0000201,ANG-0000093,NIVF-6982776825,2026-01-18,2026-01-22,4709922.47,pranuar,2026-01-27,,K31510059D,pune
