numri_urdherit_shpenzimit,numri_fatures,data_urdherit_shpenzimit,data_ekzekutimit_pageses,vlera_paguar_faktikisht,afati_aplikueshem_dite
URDH-0000065,FAT-0000070,2026-01-20,2026-02-08,3841.42,30
URDH-0000066,FAT-0000071,2026-03-16,2026-05-01,95158.58,30
URDH-0000067,FAT-0000072,2026-01-21,2026-02-02,26266.78,30
URDH-0000068,FAT-0000073,2026-02-14,2026-02-16,20881.94,30
URDH-0000069,FAT-0000074,2026-04-08,2026-04-22,50771.29,30
URDH-0000070,FAT-0000075,2026-01-30,2026-03-30,82879.91,30
URDH-0000071,FAT-0000076,2026-03-17,2026-03-23,6981.63,30
URDH-0000072,FAT-0000078,2026-01-28,2026-03-18,8271.81,30
URDH-0000073,FAT-0000079,2026-03-31,2026-04-02,18167.58,30
URDH-0000074,FAT-0000080,2026-05-04,2026-05-06,56893.61,30
URDH-0000075,FAT-0000081,2026-01-23,2026-03-21,7340.0,30
URDH-0000076,FAT-0000082,2026-01-18,2026-03-18,1274.33,30
URDH-0000077,FAT-0000083,2026-03-02,2026-03-02,12569.85,30
URDH-0000078,FAT-0000084,2026-04-06,2026-04-06,2155.81,30
URDH-0000079,FAT-0000085,2026-02-09,2026-02-11,56.73,30
URDH-0000080,FAT-0000086,2026-03-06,2026-03-06,26.38,30
URDH-0000081,FAT-0000087,2026-04-19,2026-04-24,16.89,30
URDH-0000082,FAT-0000089,2026-02-23,2026-03-12,38813.52,30
URDH-0000083,FAT-0000090,2026-04-14,2026-06-07,23153.64,30
URDH-0000084,FAT-0000091,2026-02-04,2026-02-12,55456.38,30
URDH-0000085,FAT-0000092,2026-03-18,2026-03-18,44543.62,30
URDH-0000086,FAT-0000093,2026-02-10,2026-02-10,39568.73,30
URDH-0000087,FAT-0000094,2026-03-12,2026-03-12,60431.27,30
URDH-0000088,FAT-0000095,2026-02-02,2026-02-02,151478.74,30
URDH-0000089,FAT-0000096,2026-03-29,2026-04-08,993001.26,30
URDH-0000090,FAT-0000098,2026-04-03,2026-04-23,197978.14,30
URDH-0000091,FAT-0000099,2026-05-21,2026-06-12,136262.8,30
URDH-0000092,FAT-0000101,2026-02-25,2026-03-07,13200.79,30
URDH-0000093,FAT-0000102,2026-01-27,2026-02-07,132250.0,30
URDH-0000094,FAT-0000103,2026-02-01,2026-02-26,1045606.1,30
URDH-0000095,FAT-0000104,2026-04-02,2026-04-02,240286.33,30
URDH-0000096,FAT-0000105,2026-05-22,2026-05-22,494107.57,30
URDH-0000097,FAT-0000106,2026-01-30,2026-02-21,69736.11,30
URDH-0000098,FAT-0000107,2026-03-17,2026-03-31,299783.89,30
URDH-0000099,FAT-0000108,2026-01-24,2026-03-02,6576.55,30
URDH-0000100,FAT-0000109,2026-03-12,2026-03-19,8108.45,30
URDH-0000101,FAT-0000110,2026-02-06,2026-02-08,361213.46,30
URDH-0000102,FAT-0000111,2026-03-31,2026-04-13,8490063.75,30
URDH-0000103,FAT-0000112,2026-06-06,2026-06-06,7860822.79,30
URDH-0000104,FAT-0000113,2026-02-04,2026-02-22,967919.81,30
URDH-0000105,FAT-0000114,2026-03-20,2026-03-20,410331.77,30
URDH-0000106,FAT-0000115,2026-04-28,2026-06-16,48440.72,30
URDH-0000107,FAT-0000116,2026-02-05,2026-02-20,8272.94,30
URDH-0000108,FAT-0000117,2026-03-22,2026-03-26,115477.06,30
URDH-0000109,FAT-0000118,2026-02-07,2026-02-12,30310.39,30
URDH-0000110,FAT-0000119,2026-02-21,2026-03-08,25873.56,30
URDH-0000111,FAT-0000120,2026-04-11,2026-04-11,3816.05,30
URDH-0000112,FAT-0000121,2026-01-29,2026-02-08,357809.56,30
URDH-0000113,FAT-0000122,2026-03-24,2026-05-08,24480.68,30
URDH-0000114,FAT-0000123,2026-04-10,2026-04-24,65209.76,30
URDH-0000115,FAT-0000124,2026-01-31,2026-03-06,2959.06,30
URDH-0000116,FAT-0000125,2026-02-25,2026-02-25,6320.79,30
URDH-0000117,FAT-0000126,2026-04-24,2026-04-26,85472.16,30
URDH-0000118,FAT-0000127,2026-01-16,2026-02-03,173991.84,30
URDH-0000119,FAT-0000128,2026-03-06,2026-03-15,27608.16,30
URDH-0000120,FAT-0000129,2026-02-13,2026-02-15,99600.0,30
URDH-0000121,FAT-0000130,2026-02-09,2026-02-09,68850.27,30
URDH-0000122,FAT-0000131,2026-03-19,2026-04-24,31066.73,30
URDH-0000123,FAT-0000132,2026-01-25,2026-01-25,6663.77,30
URDH-0000124,FAT-0000133,2026-02-20,2026-04-16,60176.23,30
URDH-0000125,FAT-0000134,2026-02-01,2026-02-17,552000.0,30
URDH-0000126,FAT-0000135,2026-02-03,2026-02-21,2107295.58,30
URDH-0000127,FAT-0000136,2026-03-19,2026-03-22,124704.42,30
URDH-0000128,FAT-0000137,2026-01-29,2026-01-29,215411.15,30
URDH-0000129,FAT-0000138,2026-02-16,2026-02-16,243987.29,30
URDH-0000130,FAT-0000139,2026-03-22,2026-03-30,24601.56,30
URDH-0000131,FAT-0000140,2026-02-07,2026-02-23,1512394.07,30
URDH-0000132,FAT-0000141,2026-02-25,2026-03-30,874912.69,30
URDH-0000133,FAT-0000142,2026-01-30,2026-02-12,32907.62,30
URDH-0000134,FAT-0000143,2026-03-11,2026-03-20,19228.32,30
URDH-0000135,FAT-0000144,2026-04-22,2026-04-22,47594.07,30
URDH-0000136,FAT-0000145,2026-02-05,2026-02-05,1856000.67,30
URDH-0000137,FAT-0000146,2026-03-24,2026-03-24,13614.02,30
URDH-0000138,FAT-0000148,2026-02-05,2026-02-16,37679.37,30
URDH-0000139,FAT-0000149,2026-04-05,2026-04-07,25906.82,30
URDH-0000140,FAT-0000150,2026-05-03,2026-05-12,19913.82,30
URDH-0000141,FAT-0000151,2026-01-27,2026-01-31,2044902.69,30
URDH-0000142,FAT-0000152,2026-02-28,2026-03-19,768857.31,30
URDH-0000143,FAT-0000153,2026-02-06,2026-03-24,2166000.0,30
URDH-0000144,FAT-0000154,2026-02-02,2026-02-14,1662803.22,30
URDH-0000145,FAT-0000155,2026-03-05,2026-03-15,1154552.75,30
URDH-0000146,FAT-0000157,2026-01-31,2026-02-13,1299398.74,30
URDH-0000147,FAT-0000158,2026-03-06,2026-03-15,484942.91,30
URDH-0000148,FAT-0000159,2026-04-06,2026-04-16,1755658.35,30
URDH-0000149,FAT-0000160,2026-02-03,2026-02-20,1654.05,30
URDH-0000150,FAT-0000161,2026-03-08,2026-03-29,60600.11,30
URDH-0000151,FAT-0000162,2026-04-10,2026-04-10,17745.84,30
URDH-0000152,FAT-0000163,2026-02-01,2026-02-01,405282.41,30
URDH-0000153,FAT-0000164,2026-04-07,2026-04-07,211603.83,30
URDH-0000154,FAT-0000165,2026-05-31,2026-06-08,263113.76,30
URDH-0000155,FAT-0000166,2026-01-24,2026-01-30,43111.61,30
URDH-0000156,FAT-0000167,2026-03-18,2026-03-24,56883.39,30
URDH-0000157,FAT-0000168,2026-01-23,2026-02-10,25000.0,30
URDH-0000158,FAT-0000169,2026-02-06,2026-02-23,12780.0,30
URDH-0000159,FAT-0000170,2026-01-25,2026-02-10,70120.0,30
URDH-0000160,FAT-0000171,2026-01-29,2026-02-17,27690000.0,30
URDH-0000161,FAT-0000172,2026-02-04,2026-02-16,28333.59,30
URDH-0000162,FAT-0000173,2026-03-28,2026-04-02,32830.39,30
URDH-0000163,FAT-0000174,2026-05-31,2026-05-31,3586.02,30
URDH-0000164,FAT-0000175,2026-02-04,2026-02-14,99960.0,30
URDH-0000165,FAT-0000176,2026-01-26,2026-02-08,2456026.72,30
URDH-0000166,FAT-0000177,2026-02-27,2026-02-27,1122694.54,30
URDH-0000167,FAT-0000178,2026-03-23,2026-04-10,412178.74,30
URDH-0000168,FAT-0000180,2026-03-19,2026-03-19,13812.56,30
URDH-0000169,FAT-0000181,2026-02-01,2026-02-11,217500.0,30
URDH-0000170,FAT-0000182,2026-02-07,2026-02-07,115000.0,30
URDH-0000171,FAT-0000183,2026-02-06,2026-03-02,1569.75,30
URDH-0000172,FAT-0000184,2026-03-02,2026-03-02,9392.25,30
URDH-0000173,FAT-0000185,2026-02-02,2026-02-02,2607.76,30
URDH-0000174,FAT-0000186,2026-04-06,2026-04-06,18992.24,30
URDH-0000175,FAT-0000187,2026-02-06,2026-02-06,10567.95,30
URDH-0000176,FAT-0000188,2026-03-04,2026-03-16,20714.79,30
URDH-0000177,FAT-0000189,2026-04-23,2026-04-23,13717.25,30
URDH-0000178,FAT-0000190,2026-02-05,2026-02-17,3933982.56,30
URDH-0000179,FAT-0000191,2026-04-13,2026-04-13,356931.36,30
URDH-0000180,FAT-0000192,2026-06-01,2026-06-17,1923756.08,30
URDH-0000181,FAT-0000193,2026-02-03,2026-02-03,2043.0,30
URDH-0000182,FAT-0000194,2026-03-14,2026-03-14,3805.7,30
URDH-0000183,FAT-0000195,2026-03-31,2026-03-31,20011.3,30
URDH-0000184,FAT-0000196,2026-02-05,2026-02-05,3226.83,30
URDH-0000185,FAT-0000197,2026-03-03,2026-05-03,7773.17,30
URDH-0000186,FAT-0000198,2026-02-06,2026-02-06,3290.01,30
URDH-0000187,FAT-0000199,2026-03-27,2026-03-27,5681.73,30
URDH-0000188,FAT-0000200,2026-05-10,2026-05-10,25828.27,30
URDH-0000189,FAT-0000201,2026-02-03,2026-02-06,4709922.47,30
URDH-0000190,FAT-0000203,2026-02-04,2026-02-04,64058.33,30
URDH-0000191,FAT-0000204,2026-03-06,2026-03-24,71339.67,30
URDH-0000192,FAT-0000205,2026-02-05,2026-03-05,2550057.7,30
URDH-0000193,FAT-0000206,2026-03-12,2026-04-14,605602.24,30
URDH-0000194,FAT-0000207,2026-05-12,2026-06-11,3746340.05,30
URDH-0000195,FAT-0000208,2026-02-09,2026-02-28,189000.0,30
URDH-0000196,FAT-0000209,2026-02-10,2026-02-17,35644.41,30
URDH-0000197,FAT-0000210,2026-03-21,2026-04-12,62355.59,30
URDH-0000198,FAT-0000211,2026-02-06,2026-02-06,20953.39,30
URDH-0000199,FAT-0000212,2026-03-04,2026-03-15,22386.61,30
URDH-0000200,FAT-0000213,2026-02-04,2026-02-19,58000.0,30
URDH-0000201,FAT-0000214,2026-02-14,2026-02-14,17400.0,30
URDH-0000202,FAT-0000215,2026-02-04,2026-02-16,99565.75,30
URDH-0000203,FAT-0000216,2026-03-29,2026-03-30,126959.25,30
URDH-0000204,FAT-0000217,2026-02-08,2026-02-17,9515925.0,30
URDH-0000205,FAT-0000218,2026-01-30,2026-03-26,6999.57,30
URDH-0000206,FAT-0000219,2026-03-10,2026-04-01,37811.9,30
URDH-0000207,FAT-0000220,2026-05-02,2026-05-06,15188.53,30
URDH-0000208,FAT-0000222,2026-02-12,2026-03-29,43787.4,30
URDH-0000209,FAT-0000223,2026-03-08,2026-04-20,300444.1,30
URDH-0000210,FAT-0000224,2026-04-08,2026-04-08,13408.49,30
URDH-0000211,FAT-0000225,2026-02-06,2026-02-12,55805.65,30
URDH-0000212,FAT-0000226,2026-03-15,2026-03-29,21927.45,30
URDH-0000213,FAT-0000227,2026-04-09,2026-05-13,102866.9,30
URDH-0000214,FAT-0000228,2026-02-06,2026-02-06,2637882.43,30
URDH-0000215,FAT-0000229,2026-03-15,2026-04-22,155717.57,30
URDH-0000216,FAT-0000230,2026-02-04,2026-02-04,2780512.0,30
URDH-0000217,FAT-0000231,2026-03-22,2026-05-05,409373.0,30
URDH-0000218,FAT-0000232,2026-02-01,2026-02-08,1533.71,30
URDH-0000219,FAT-0000233,2026-02-22,2026-03-21,98466.29,30
URDH-0000220,FAT-0000234,2026-02-04,2026-02-04,2726.88,30
URDH-0000221,FAT-0000235,2026-03-05,2026-03-19,21440.9,30
URDH-0000222,FAT-0000236,2026-05-02,2026-05-09,27832.22,30
URDH-0000223,FAT-0000237,2026-02-04,2026-02-14,55924.61,30
URDH-0000224,FAT-0000238,2026-03-15,2026-03-15,4491.39,30
URDH-0000225,FAT-0000239,2026-05-04,2026-06-27,39584.0,30
URDH-0000226,FAT-0000240,2026-02-11,2026-02-11,13417.0,30
URDH-0000227,FAT-0000241,2026-02-17,2026-02-25,38880.0,30
URDH-0000228,FAT-0000242,2026-02-11,2026-03-28,11481.55,30
URDH-0000229,FAT-0000243,2026-03-28,2026-03-28,77778.48,30
URDH-0000230,FAT-0000245,2026-02-04,2026-04-08,3186925.92,30
URDH-0000231,FAT-0000246,2026-03-09,2026-03-20,152089.78,30
URDH-0000232,FAT-0000247,2026-04-24,2026-04-24,291190.21,30
URDH-0000233,FAT-0000248,2026-01-31,2026-01-31,1110.5,30
URDH-0000234,FAT-0000249,2026-02-27,2026-03-29,437.53,30
URDH-0000235,FAT-0000250,2026-04-28,2026-04-28,453.97,30
URDH-0000236,FAT-0000252,2026-03-01,2026-04-16,20413.98,30
URDH-0000237,FAT-0000256,2026-02-18,2026-02-18,67865.0,30
URDH-0000238,FAT-0000257,2026-02-06,2026-02-17,529955.77,30
URDH-0000239,FAT-0000258,2026-03-04,2026-04-02,190294.23,30
URDH-0000240,FAT-0000259,2026-02-10,2026-02-19,83167.0,30
URDH-0000241,FAT-0000260,2026-02-13,2026-02-13,3162502.81,30
URDH-0000242,FAT-0000261,2026-03-30,2026-04-15,1635830.19,30
URDH-0000243,FAT-0000262,2026-02-06,2026-02-12,28205235.02,30
URDH-0000244,FAT-0000263,2026-03-24,2026-04-05,477650.7,30
URDH-0000245,FAT-0000264,2026-02-17,2026-03-16,21450.0,30
URDH-0000246,FAT-0000265,2026-02-09,2026-02-09,4941.01,30
URDH-0000247,FAT-0000266,2026-03-30,2026-04-02,417.98,30
URDH-0000248,FAT-0000267,2026-04-18,2026-05-17,2974.0,30
URDH-0000249,FAT-0000268,2026-02-13,2026-02-24,30569094.23,30
URDH-0000250,FAT-0000269,2026-02-08,2026-02-16,15198.01,30
URDH-0000251,FAT-0000270,2026-03-09,2026-03-28,1863.61,30
URDH-0000252,FAT-0000271,2026-04-28,2026-06-17,20752.38,30
URDH-0000253,FAT-0000272,2026-02-06,2026-02-10,1183.42,30
URDH-0000254,FAT-0000273,2026-03-11,2026-04-01,10251.14,30
URDH-0000255,FAT-0000274,2026-04-22,2026-04-23,4435.44,30
URDH-0000256,FAT-0000275,2026-02-09,2026-02-09,13410.64,30
URDH-0000257,FAT-0000276,2026-03-10,2026-04-16,16475.54,30
URDH-0000258,FAT-0000277,2026-04-21,2026-04-24,113.82,30
URDH-0000259,FAT-0000278,2026-02-11,2026-02-11,7900.0,30
URDH-0000260,FAT-0000279,2026-02-06,2026-02-12,285325.98,30
URDH-0000261,FAT-0000280,2026-03-05,2026-04-30,104824.02,30
URDH-0000262,FAT-0000281,2026-02-05,2026-02-05,49473.53,30
URDH-0000263,FAT-0000282,2026-03-15,2026-03-15,107511.43,30
URDH-0000264,FAT-0000283,2026-04-14,2026-04-20,15415.04,30
URDH-0000265,FAT-0000284,2026-02-14,2026-02-27,4870.67,30
URDH-0000266,FAT-0000285,2026-04-14,2026-04-14,31129.33,30
URDH-0000267,FAT-0000286,2026-02-02,2026-02-15,177302.47,30
URDH-0000268,FAT-0000287,2026-03-26,2026-03-26,97197.53,30
URDH-0000269,FAT-0000288,2026-02-10,2026-02-26,28087.99,30
URDH-0000270,FAT-0000289,2026-03-10,2026-04-21,45364.53,30
URDH-0000271,FAT-0000290,2026-04-14,2026-04-14,9747.48,30
URDH-0000272,FAT-0000291,2026-02-09,2026-03-28,99950.0,30
URDH-0000273,FAT-0000292,2026-02-20,2026-03-18,114838.03,30
URDH-0000274,FAT-0000293,2026-04-05,2026-04-21,13861.97,30
URDH-0000275,FAT-0000294,2026-02-11,2026-02-11,251671.12,30
URDH-0000276,FAT-0000295,2026-03-23,2026-03-26,222028.13,30
URDH-0000277,FAT-0000296,2026-02-06,2026-02-22,5666.67,30
URDH-0000278,FAT-0000297,2026-02-12,2026-02-26,100000.0,30
URDH-0000279,FAT-0000298,2026-02-13,2026-02-17,453973.78,30
URDH-0000280,FAT-0000299,2026-03-03,2026-03-06,816526.22,30
URDH-0000281,FAT-0000300,2026-02-18,2026-02-27,72000.0,30
URDH-0000282,FAT-0000301,2026-02-02,2026-02-02,41926.55,30
URDH-0000283,FAT-0000302,2026-03-21,2026-04-03,68020.49,30
URDH-0000284,FAT-0000303,2026-04-29,2026-05-16,83492.96,30
URDH-0000285,FAT-0000304,2026-02-21,2026-02-21,37278.8,30
URDH-0000286,FAT-0000308,2026-04-02,2026-04-23,34994.15,30
URDH-0000287,FAT-0000309,2026-02-03,2026-03-28,38426.95,30
URDH-0000288,FAT-0000310,2026-03-24,2026-04-08,96573.05,30
URDH-0000289,FAT-0000311,2026-02-07,2026-02-24,32198.81,30
URDH-0000290,FAT-0000312,2026-03-14,2026-03-31,27884.19,30
URDH-0000291,FAT-0000313,2026-02-07,2026-02-23,43375.0,30
URDH-0000292,FAT-0000314,2026-02-17,2026-03-14,379221.84,30
URDH-0000293,FAT-0000316,2026-04-19,2026-04-24,642733.93,30
URDH-0000294,FAT-0000317,2026-02-01,2026-03-21,98844.5,30
URDH-0000295,FAT-0000318,2026-02-25,2026-03-02,748155.5,30
URDH-0000296,FAT-0000319,2026-02-07,2026-02-26,15660.0,30
URDH-0000297,FAT-0000320,2026-02-07,2026-02-07,1671.72,30
URDH-0000298,FAT-0000321,2026-03-31,2026-04-05,12922.97,30
URDH-0000299,FAT-0000322,2026-05-02,2026-05-02,6705.31,30
URDH-0000300,FAT-0000323,2026-02-11,2026-02-26,28167.06,30
URDH-0000301,FAT-0000324,2026-03-15,2026-03-15,65604.91,30
URDH-0000302,FAT-0000325,2026-04-09,2026-04-20,4434.03,30
URDH-0000303,FAT-0000326,2026-02-17,2026-02-23,5480000.0,30
URDH-0000304,FAT-0000327,2026-02-10,2026-03-04,1276190.0,30
URDH-0000305,FAT-0000328,2026-02-04,2026-02-04,20236.03,30
URDH-0000306,FAT-0000330,2026-04-13,2026-04-13,73777.39,30
URDH-0000307,FAT-0000331,2026-02-03,2026-03-05,102053.4,30
URDH-0000308,FAT-0000333,2026-04-18,2026-05-11,82435.85,30
URDH-0000309,FAT-0000335,2026-02-05,2026-04-04,44418.98,30
URDH-0000310,FAT-0000336,2026-04-03,2026-04-13,55081.02,30
URDH-0000311,FAT-0000337,2026-02-01,2026-02-21,26742.71,30
URDH-0000312,FAT-0000338,2026-03-22,2026-03-29,73117.29,30
URDH-0000313,FAT-0000339,2026-02-05,2026-03-31,394573.85,30
URDH-0000314,FAT-0000340,2026-03-20,2026-04-27,1266527.58,30
URDH-0000315,FAT-0000341,2026-04-16,2026-04-26,1947898.58,30
URDH-0000316,FAT-0000342,2026-02-11,2026-02-21,56696.88,30
URDH-0000317,FAT-0000343,2026-03-11,2026-04-06,1396.89,30
URDH-0000318,FAT-0000344,2026-04-05,2026-04-05,17506.23,30
URDH-0000319,FAT-0000345,2026-02-17,2026-03-02,40.0,30
URDH-0000320,FAT-0000346,2026-02-14,2026-02-27,45833.0,30
URDH-0000321,FAT-0000347,2026-02-14,2026-03-16,22659.43,30
URDH-0000322,FAT-0000348,2026-03-12,2026-03-12,64137.28,30
URDH-0000323,FAT-0000349,2026-04-09,2026-04-16,13103.29,30
URDH-0000324,FAT-0000350,2026-02-09,2026-02-09,1743.51,30
URDH-0000325,FAT-0000352,2026-04-26,2026-05-06,7701.66,30
URDH-0000326,FAT-0000353,2026-02-08,2026-02-21,26100.0,30
URDH-0000327,FAT-0000354,2026-02-07,2026-02-10,205500.0,30
URDH-0000328,FAT-0000355,2026-02-06,2026-02-20,594432.11,30
URDH-0000329,FAT-0000356,2026-03-26,2026-04-05,34767.89,30
URDH-0000330,FAT-0000357,2026-02-20,2026-02-20,92.48,30
URDH-0000331,FAT-0000358,2026-03-15,2026-03-15,14344.24,30
URDH-0000332,FAT-0000359,2026-04-04,2026-04-09,2563.29,30
URDH-0000333,FAT-0000360,2026-02-13,2026-02-13,71526.75,30
URDH-0000334,FAT-0000362,2026-04-11,2026-04-17,15204.51,30
URDH-0000335,FAT-0000363,2026-02-11,2026-02-11,1974663.39,30
URDH-0000336,FAT-0000364,2026-03-28,2026-04-17,34236.61,30
URDH-0000337,FAT-0000365,2026-02-23,2026-02-25,18282.51,30
URDH-0000338,FAT-0000366,2026-03-14,2026-03-14,23908.98,30
URDH-0000339,FAT-0000367,2026-05-09,2026-06-05,6408.5,30
URDH-0000340,FAT-0000368,2026-02-11,2026-04-11,146824.78,30
URDH-0000341,FAT-0000369,2026-03-29,2026-04-05,178023.88,30
URDH-0000342,FAT-0000370,2026-05-17,2026-05-17,180151.34,30
URDH-0000343,FAT-0000371,2026-02-15,2026-02-23,100000.0,30
URDH-0000344,FAT-0000372,2026-02-08,2026-02-11,619696.71,30
URDH-0000345,FAT-0000373,2026-04-10,2026-04-10,1851132.83,30
URDH-0000346,FAT-0000374,2026-04-29,2026-05-03,690270.46,30
URDH-0000347,FAT-0000375,2026-02-24,2026-03-07,85407.18,30
URDH-0000348,FAT-0000376,2026-04-11,2026-04-20,3512.54,30
URDH-0000349,FAT-0000377,2026-05-22,2026-05-29,7580.28,30
URDH-0000350,FAT-0000378,2026-02-24,2026-03-10,55545.17,30
URDH-0000351,FAT-0000379,2026-04-18,2026-04-18,16721.23,30
URDH-0000352,FAT-0000380,2026-02-16,2026-02-21,41251.52,30
URDH-0000353,FAT-0000382,2026-02-20,2026-02-20,28531.57,30
URDH-0000354,FAT-0000383,2026-03-13,2026-03-14,39468.43,30
URDH-0000355,FAT-0000385,2026-02-17,2026-03-10,10800.0,30
URDH-0000356,FAT-0000386,2026-02-20,2026-03-04,49106.5,30
URDH-0000357,FAT-0000387,2026-04-08,2026-04-10,1185.49,30
URDH-0000358,FAT-0000388,2026-06-08,2026-06-17,2108.0,30
URDH-0000359,FAT-0000389,2026-02-16,2026-02-18,51000.0,30
URDH-0000360,FAT-0000391,2026-04-12,2026-04-28,282948.05,30
URDH-0000361,FAT-0000392,2026-05-29,2026-06-20,135170.55,30
URDH-0000362,FAT-0000393,2026-02-14,2026-02-16,56522.95,30
URDH-0000363,FAT-0000394,2026-03-30,2026-04-01,42977.05,30
URDH-0000364,FAT-0000396,2026-02-13,2026-03-21,318661.77,30
URDH-0000365,FAT-0000397,2026-04-01,2026-04-09,221338.23,30
URDH-0000366,FAT-0000398,2026-02-12,2026-02-23,48644.91,30
URDH-0000367,FAT-0000399,2026-04-08,2026-04-27,31445.07,30
URDH-0000368,FAT-0000401,2026-02-09,2026-02-23,999500.0,30
URDH-0000369,FAT-0000402,2026-02-13,2026-02-22,499798.26,30
URDH-0000370,FAT-0000403,2026-04-10,2026-04-15,138951.74,30
URDH-0000371,FAT-0000404,2026-02-19,2026-02-27,62033.0,30
URDH-0000372,FAT-0000405,2026-02-06,2026-02-14,8412.94,30
URDH-0000373,FAT-0000406,2026-03-11,2026-03-11,91587.06,30
